"ano","uf","total"
"2003","SP","89227355.57"
"2003","RJ","50939624.58"
"2003","MG","26457155.86"
"2003","RS","24715455.57"
"2003","SC","9607489.45"
"2003","PE","8924691.88"
"2003","DF","8817663.03"
"2003","PR","7654337.24"
"2003","BA","4333701.74"
"2003","CE","4309627.55"
"2003","PB","3521821.32"
"2003","RN","2169722.01"
"2003","PA","1974390.40"
"2003","AM","1661462.43"
"2003","GO","1155450.15"
"2003","ES","945201.60"
"2003","AL","437633.70"
"2003","MT","342061.77"
"2003","MS","289197.28"
"2003","SE","268913.12"
"2003","MA","260052.01"
"2003","PI","202756.91"
"2003","RO","40826.71"
"2003","AC","36799.57"
"2003","RR","28426.87"
"2003","AP","16193.01"
"2003","TO","6722.24"
"2004","SP","127531105.89"
"2004","RJ","71292557.67"
"2004","MG","38046627.82"
"2004","RS","35363167.76"
"2004","PE","14481014.31"
"2004","SC","13292488.13"
"2004","DF","13126320.41"
"2004","PR","11315630.19"
"2004","BA","7291812.89"
"2004","CE","7177991.57"
"2004","PB","5512592.10"
"2004","RN","4097615.88"
"2004","PA","3707629.90"
"2004","AM","2690007.12"
"2004","GO","2227451.58"
"2004","ES","1569837.99"
"2004","SE","1083644.75"
"2004","AL","980742.72"
"2004","MS","845908.55"
"2004","MT","649104.61"
"2004","MA","490921.81"
"2004","PI","410820.06"
"2004","RO","113028.47"
"2004","RR","79391.36"
"2004","AC","78213.85"
"2004","TO","33728.92"
"2004","AP","16524.02"
"2005","SP","144390836.29"
"2005","RJ","78685660.73"
"2005","MG","43014387.44"
"2005","RS","39339914.50"
"2005","PE","17033263.25"
"2005","DF","16786936.74"
"2005","SC","15748261.08"
"2005","PR","13224779.89"
"2005","CE","9010132.17"
"2005","BA","8413497.84"
"2005","PB","6949019.06"
"2005","RN","5089696.17"
"2005","PA","4607423.06"
"2005","AM","3169634.26"
"2005","GO","2674983.05"
"2005","ES","1822195.34"
"2005","MS","1302143.53"
"2005","AL","1257438.27"
"2005","SE","1001565.03"
"2005","MA","750091.51"
"2005","MT","671585.88"
"2005","PI","466914.61"
"2005","TO","201582.60"
"2005","RO","157831.05"
"2005","AC","69237.14"
"2005","RR","46409.03"
"2005","AP","6762.28"
"2006","SP","181773303.00"
"2006","RJ","95245461.35"
"2006","MG","53906783.89"
"2006","RS","49607892.71"
"2006","PE","25746766.88"
"2006","DF","23909497.04"
"2006","SC","20316414.36"
"2006","PR","17581116.93"
"2006","CE","14808972.39"
"2006","BA","12369279.14"
"2006","RN","9576328.96"
"2006","PB","9253951.44"
"2006","PA","8028332.85"
"2006","AM","4664522.76"
"2006","GO","4186964.94"
"2006","ES","2999109.92"
"2006","AL","2809432.87"
"2006","MS","2091654.37"
"2006","MA","1574057.33"
"2006","SE","1287302.12"
"2006","MT","820641.84"
"2006","PI","750025.16"
"2006","RO","450239.24"
"2006","TO","223561.41"
"2006","AP","100028.20"
"2006","AC","79174.47"
"2006","RR","62993.12"
"2007","SP","258537912.29"
"2007","RJ","160289896.33"
"2007","RS","84533637.58"
"2007","MG","83252354.50"
"2007","PE","47929201.66"
"2007","DF","36339462.37"
"2007","PR","31609051.63"
"2007","BA","30835084.82"
"2007","CE","28918315.78"
"2007","SC","28750727.35"
"2007","PB","21217805.10"
"2007","PA","20023021.38"
"2007","RN","16032238.67"
"2007","AM","13877295.59"
"2007","GO","9535415.92"
"2007","AL","6401155.07"
"2007","MA","5006039.91"
"2007","ES","4213512.18"
"2007","MS","3735695.13"
"2007","AP","3043583.65"
"2007","RO","2743531.07"
"2007","SE","2619382.04"
"2007","MT","2524107.89"
"2007","TO","2442008.27"
"2007","PI","2177787.71"
"2007","AC","1588738.39"
"2007","RR","472444.26"
"2008","SP","297863132.39"
"2008","RJ","162234971.93"
"2008","RS","107010349.06"
"2008","MG","95631333.43"
"2008","DF","63185332.87"
"2008","PE","50298958.42"
"2008","PR","39083468.37"
"2008","SC","37787633.72"
"2008","CE","31157192.83"
"2008","BA","28823916.70"
"2008","PB","22109735.17"
"2008","AM","20220155.46"
"2008","PA","18771167.64"
"2008","RN","15030133.64"
"2008","GO","11535838.71"
"2008","ES","5916818.24"
"2008","AL","5859996.28"
"2008","MS","5841913.74"
"2008","MT","4267371.82"
"2008","MA","4090779.06"
"2008","SE","3541649.05"
"2008","RO","2750747.66"
"2008","TO","2714211.78"
"2008","AP","2681811.63"
"2008","PI","2506564.96"
"2008","AC","1746306.51"
"2008","RR","882818.49"
"2009","SP","351857538.46"
"2009","RJ","189895624.69"
"2009","MG","118129631.18"
"2009","RS","117184411.09"
"2009","DF","62930136.53"
"2009","PE","51537744.66"
"2009","PR","49286197.45"
"2009","SC","41088585.89"
"2009","CE","35914594.70"
"2009","BA","32799446.50"
"2009","PB","24359479.87"
"2009","PA","23852671.74"
"2009","AM","18115799.51"
"2009","RN","17099761.55"
"2009","GO","13689694.51"
"2009","MS","6678068.56"
"2009","ES","6601208.96"
"2009","AL","5957308.45"
"2009","SE","5735758.74"
"2009","MT","4185284.04"
"2009","MA","3619278.44"
"2009","PI","3523102.02"
"2009","RO","2525023.89"
"2009","TO","2101837.42"
"2009","AC","986036.50"
"2009","RR","906668.40"
"2009","AP","522569.92"
"2010","SP","425569322.46"
"2010","RJ","236915760.38"
"2010","RS","147014332.52"
"2010","MG","140195285.63"
"2010","DF","87357779.93"
"2010","PE","68343551.26"
"2010","PR","58044764.77"
"2010","SC","50381257.86"
"2010","CE","45418242.13"
"2010","BA","44753990.17"
"2010","PA","33638626.86"
"2010","PB","29255974.12"
"2010","AM","25825331.94"
"2010","RN","23382361.90"
"2010","GO","16608710.35"
"2010","PI","14785340.33"
"2010","SE","10700575.54"
"2010","MT","9742601.96"
"2010","ES","8934666.85"
"2010","MS","8842203.20"
"2010","AL","8218475.83"
"2010","MA","5387110.31"
"2010","TO","3625124.42"
"2010","RO","2804093.29"
"2010","AC","1475341.76"
"2010","RR","915758.71"
"2010","AP","694796.35"
"2011","SP","404770902.68"
"2011","RJ","214406076.89"
"2011","MG","136167030.80"
"2011","RS","131772843.62"
"2011","DF","91380549.30"
"2011","PE","67694270.54"
"2011","PR","53930646.71"
"2011","SC","49206567.56"
"2011","BA","41431765.45"
"2011","CE","38560235.14"
"2011","PA","29874002.25"
"2011","PB","28625661.56"
"2011","AM","23504268.68"
"2011","RN","22952851.77"
"2011","GO","20743123.14"
"2011","MS","10231015.10"
"2011","MT","7957152.21"
"2011","AL","7633291.13"
"2011","ES","7586965.66"
"2011","SE","7339265.24"
"2011","PI","5184477.33"
"2011","MA","4861071.06"
"2011","TO","3984891.13"
"2011","RO","2892735.42"
"2011","AC","1758244.72"
"2011","RR","910072.97"
"2011","AP","889051.97"
"2012","SP","436600698.63"
"2012","RJ","251729684.40"
"2012","MG","146713302.55"
"2012","RS","144209784.64"
"2012","DF","106442325.38"
"2012","PE","66505626.81"
"2012","PR","66322979.09"
"2012","SC","58145980.37"
"2012","CE","48192745.96"
"2012","BA","39524876.36"
"2012","PA","34274232.85"
"2012","PB","33255447.87"
"2012","RN","26054953.62"
"2012","AM","23729737.56"
"2012","GO","22813761.48"
"2012","MS","13341928.49"
"2012","SE","11119442.63"
"2012","AL","10244109.65"
"2012","ES","9452431.44"
"2012","MT","7147938.73"
"2012","MA","6730750.91"
"2012","PI","4947593.50"
"2012","TO","4030429.48"
"2012","RO","2339767.00"
"2012","AP","2008029.82"
"2012","AC","1506616.32"
"2012","RR","1283304.09"
"2013","SP","485124757.54"
"2013","RJ","292667846.58"
"2013","MG","165032528.80"
"2013","RS","162006639.25"
"2013","DF","140488691.77"
"2013","PR","68679631.55"
"2013","PE","67799044.83"
"2013","SC","65654058.90"
"2013","CE","52427331.44"
"2013","BA","44238392.80"
"2013","PB","33084748.91"
"2013","PA","31208977.31"
