"ano","area","total"
2006,"Botânica","6300"
2003,"Administração","174199789"
2003,"Administração Hospitalar","507168"
2003,"Agronomia","1080352452"
2003,"Antropologia","252837929"
2003,"Arqueologia","57494628"
2003,"Arquitetura e Urbanismo","77650041"
2003,"Artes","89356573"
2003,"Astronomia","95504399"
2003,"Biofísica","135769510"
2003,"Biologia Geral","41754727"
2003,"Biomedicina","676222"
2003,"Bioquímica","567002220"
2003,"Botânica","258702441"
2003,"Ciência da Computação","522600675"
2003,"Ciência da Informação","26767575"
2003,"Ciência e Tecnologia de Alimentos","259865319"
2003,"Ciência Política","179292047"
2003,"Ciências","7935559"
2003,"Ciências Sociais","46244516"
2003,"Comunicação","159941159"
2003,"Demografia","35148179"
2003,"Desenho Industrial","6078910"
2003,"Direito","86478027"
2003,"Ecologia","363105545"
2003,"Economia","240802375"
2003,"Economia Doméstica","1328290"
2003,"Educação","482327914"
2003,"Educação Física","47172642"
2003,"Enfermagem","131426126"
2003,"Engenharia Aeroespacial","40150080"
2003,"Engenharia Agrícola","152216086"
2003,"Engenharia Biomédica","57925716"
2003,"Engenharia Civil","435825859"
2003,"Engenharia de Materiais e Metalúrgica","432533893"
2003,"Engenharia de Minas","32860331"
2003,"Engenharia de Produção","203426188"
2003,"Engenharia de Transportes","63122144"
2003,"Engenharia Elétrica","605188702"
2003,"Engenharia Mecânica","471506825"
2003,"Engenharia Mecatrônica","12560357"
2003,"Engenharia Naval e Oceânica","22950168"
2003,"Engenharia Nuclear","97890968"
2003,"Engenharia Química","337341673"
2003,"Engenharia Sanitária","253286448"
2003,"Farmácia","123484416"
2003,"Farmacologia","267717018"
2003,"Filosofia","191599299"
2003,"Física","1011824147"
2003,"Fisiologia","230446494"
2003,"Fisioterapia e Terapia Ocupacional","10635624"
2003,"Fonoaudiologia","11290361"
2003,"Genética","446579489"
2003,"Geociências","579912522"
2003,"Geografia","132460160"
2003,"História","392335777"
2003,"Historia Natural","120755"
2003,"Imunologia","210974127"
2003,"Letras","417252569"
2003,"Lingüística","304896892"
2003,"Matemática","350363094"
2003,"Medicina","556047314"
2003,"Medicina Veterinária","298048997"
2003,"Microbiologia","244247971"
2003,"Morfologia","128505479"
2003,"Multidisciplinar","49690983"
2003,"Museologia","988848"
2003,"Nutrição","86189553"
2003,"Oceanografia","173327828"
2003,"Odontologia","181232002"
2003,"Parasitologia","151090310"
2003,"Planejamento Urbano e Regional","58941687"
2003,"Probabilidade e Estatística","76610698"
2003,"Psicologia","485981050"
2003,"Química","1060406037"
2003,"Recursos Florestais e Engenharia Florestal","145662215"
2003,"Recursos Pesqueiros e Engenharia de Pesca","57833733"
2003,"Relações Internacionais","338111"
2003,"Saúde Coletiva","214746094"
2003,"Serviço Social","92748846"
2003,"Sociologia","326257005"
2003,"Teologia","42960632"
2003,"Turismo","1370597"
2003,"Zoologia","309027322"
2003,"Zootecnia","395621586"
2003,NULL,"27798201"
2004,"Administração","200271804"
2004,"Administração Hospitalar","362264"
2004,"Agronomia","1584805993"
2004,"Antropologia","330519314"
2004,"Arqueologia","117660788"
2004,"Arquitetura e Urbanismo","141340758"
2004,"Artes","160363701"
2004,"Astronomia","166714817"
2004,"Biofísica","196852544"
2004,"Biologia Geral","43575305"
2004,"Biomedicina","774773"
2004,"Bioquímica","828332235"
2004,"Botânica","378987909"
2004,"Ciência da Computação","773702296"
2004,"Ciência da Informação","56008616"
2004,"Ciência e Tecnologia de Alimentos","346163975"
2004,"Ciência Política","247906773"
2004,"Ciências","9106614"
2004,"Ciências Sociais","52135645"
2004,"Comunicação","210241149"
2004,"Demografia","55239858"
2004,"Desenho Industrial","114253745"
2004,"Direito","114783918"
2004,"Ecologia","511765260"
2004,"Economia","429153933"
2004,"Economia Doméstica","912628"
2004,"Educação","692798107"
2004,"Educação Física","64606640"
2004,"Enfermagem","184537991"
2004,"Engenharia Aeroespacial","108526714"
2004,"Engenharia Agrícola","205098939"
2004,"Engenharia Biomédica","100871124"
2004,"Engenharia Civil","597320225"
2004,"Engenharia de Materiais e Metalúrgica","651864069"
2004,"Engenharia de Minas","49330210"
2004,"Engenharia de Produção","256791093"
2004,"Engenharia de Transportes","101487419"
2004,"Engenharia Elétrica","731939090"
2004,"Engenharia Mecânica","655801770"
2004,"Engenharia Mecatrônica","7767312"
2004,"Engenharia Naval e Oceânica","29411258"
2004,"Engenharia Nuclear","178581915"
2004,"Engenharia Química","444331002"
2004,"Engenharia Sanitária","435380160"
2004,"Farmácia","171112910"
2004,"Farmacologia","382362020"
2004,"Filosofia","255460938"
2004,"Física","1618553578"
2004,"Fisiologia","364941427"
2004,"Fisioterapia e Terapia Ocupacional","40142252"
2004,"Fonoaudiologia","26071406"
2004,"Genética","642570666"
2004,"Geociências","844528936"
2004,"Geografia","159716108"
2004,"História","513540785"
2004,"Historia Natural","289812"
2004,"Imunologia","386201912"
2004,"Letras","486877886"
2004,"Lingüística","460434824"
2004,"Matemática","539888824"
2004,"Medicina","822555850"
2004,"Medicina Veterinária","471563180"
2004,"Microbiologia","417182094"
2004,"Morfologia","207247161"
2004,"Multidisciplinar","80909400"
2004,"Museologia","495055"
2004,"Nutrição","136996735"
2004,"Oceanografia","371936766"
