palavra,freq
solo,1914
manejo,1830
pibiti,1613
melhoramento,1568
alimentos,1465
sustentabilidade,1416
animal,1393
agricultura,1207
plantas,1205
saúde,1058
controle,1057
genética,1001
médio,979
crescimento,971
resistência,929
sustentável,872
conservação,871
biotecnologia,850
humanos,795
florestal,752
nutrição,731
estresse,702
genético,688
carbono,673
estudantes,666
afirmativas,665
água,660
doenças,642
vegetal,634
ações,628
alimentar,618
biológico,611
mudanças,599
compostos,590
climáticas,565
agrícola,556
ufrpe,556
genômica,553
amazônia,546
segurança,539
produtividade,510
conhecimento,505
produtos,492
ambiental,482
diversidade,482
resíduos,469
modelagem,467
acadêmica,431
doutorado,424
eficiência,424
irrigação,424
enic,416
mestrado,414
seleção,405
sementes,404
nitrogênio,402
profissional,395
efeito,392
integrado,388
solos,385
nutrientes,383
reprodução,378
molecular,372
pragas,371
qualificação,370
pecuária,369
incentivo,365
leite,364
bioativos,362
estufa,361
internacionalização,351
artificial,350
grosso,350
gases,350
mato,350
genéticos,350
bovinos,346
biodiversidade,344
microbiologia,344
ambiente,342
agronegócio,336
graduandos,334
nanotecnologia,326
sociedade,321
fisiologia,319
energia,317
orgânica,313
pública,309
aquicultura,308
empreendedorismo,305
funcionais,304
inteligência,301
soja,299
planta,293
pensamento,292
madeira,290
enzimas,290
biologia,289
precisão,287
bactérias,282
gênica,279
cultivares,279
cultivo,276
fixação,275
interação,275
sanidade,271
colheita,271
peixes,269
hídrico,266
integração,266
sensoriamento,266
microrganismos,263
mays,262
ecologia,262
espécies,261
carne,257
fermentação,256
expressão,256
tolerância,256
semiárido,255
marcadores,253
óleo,253
naturais,251
seca,250
phaseolus,249
antioxidante,248
capacitação,248
floresta,247
adubação,247
aplicada,247
corte,247
fertilidade,245
química,245
catarinense,245
metabolismo,244
única,243
cotas,243
ruminantes,241
modelos,238
pbic,236
biomassa,236
fungos,235
sorgo,234
florestais,232
estudante,231
vida,230
social,225
germoplasma,225
diagnóstico,224
transferência,224
inclusão,223
vulgaris,222
milho,221
adaptação,221
desempenho,219
cerrado,218
criatividade,217
insetos,216
remoto,216
proteína,216
ácidos,216
animais,215
bioeconomia,214
comportamento,214
glycine,213
culturas,212
frutas,211
política,210
funcional,209
matéria,205
monitoramento,203
ufba,199
biológica,199
genoma,198
epidemiologia,197
café,196
nutricionais,196
baixo,195
ácido,195
economia,194
impacto,194
secagem,191
cooperação,191
armazenamento,191
tropical,190
térmico,189
agrícolas,189
microbioma,188
intestinal,188
resíduo,187
veterinária,186
meio,185
cultura,185
aprendizado,184
processamento,184
vitro,183
fósforo,182
grãos,182
natural,181
ufms,181
jovens,181
ufes,178
sequenciamento,178
ciclagem,178
digestibilidade,177
doença,176
saccharum,175
ciencia,173
mitigação,173
técnico,172
acordo,171
microbiana,171
consumo,170
ifmt,170
silvicultura,169
hídrica,169
ufgd,166
arroz,166
microbiota,165
fenólicos,165
digital,164
fapern,163
indústria,162
familiar,162
citros,161
