palavra,freq
biodiversidade,3261
taxonomia,2217
biologia,1923
doenças,1767
conservação,1668
molecular,1529
câncer,1445
ecologia,1416
estudantes,1411
genética,1367
ufrj,1322
biotecnologia,1310
doença,1191
saúde,1134
inflamação,1125
mudanças,1084
estresse,1074
genômica,1043
amazônia,971
resistência,965
celular,961
evolução,957
células,956
climáticas,942
pibiti,930
médio,924
diversidade,922
sistemática,910
biológicas,892
diagnóstico,819
filogenia,771
espécies,750
covid,749
coleções,748
biomarcadores,678
herbários,641
sars,637
morfologia,634
vacina,605
vegetal,603
serviços,595
cultura,594
metabolismo,591
animal,587
proteínas,587
vírus,572
fisiologia,564
plantas,561
oxidativo,559
sustentabilidade,558
interação,549
terapia,548
humanos,533
gênica,533
crescimento,528
imunologia,521
controle,515
produtos,493
nanotecnologia,492
ambiental,481
acadêmica,465
expressão,462
social,459
sequenciamento,457
obesidade,454
sustentável,452
naturais,449
fungos,447
comportamento,445
fármacos,444
popularização,439
ecossistêmicos,436
tronco,426
biogeografia,424
proteômica,422
humana,419
leishmaniose,416
afirmativas,410
ações,408
conhecimento,408
epidemiologia,405
tratamento,405
bioinformática,395
resposta,388
leishmania,388
funcional,387
chagas,384
microbiota,371
tuberculose,366
monitoramento,356
vacinas,354
modelos,353
insetos,350
imunidade,348
emergentes,345
modelagem,344
microrganismos,342
sinalização,339
profissional,338
trypanosoma,336
diabetes,334
peptídeos,333
vida,332
crispr,330
neuroproteção,328
alzheimer,328
virus,321
interações,319
química,319
ufba,319
genoma,318
marcadores,316
microbiologia,313
básica,309
cruzi,307
cancer,305
doutorado,304
proteína,303
neuroinflamação,300
manejo,298
teste,297
zika,294
graduandos,294
angiotensina,294
epigenética,293
atlântica,287
comunidades,287
pbic,286
hospedeiro,284
mata,282
peixes,281
enic,281
ebserh,281
mestrado,280
medicina,279
nanopartículas,279
infecção,278
antimicrobianos,278
impacto,271
citocinas,270
estrutural,269
jovens,268
internacionalização,266
ambiente,265
transcriptômica,262
imune,260
farmacologia,257
hipertensão,257
cerrado,256
animais,256
flora,253
seca,250
neotropical,249
redes,248
genes,246
célula,245
dinâmica,244
ambientais,243
antimicrobiana,242
enzimas,242
dengue,241
drogas,241
vetores,241
nervoso,240
bioquímica,239
água,239
metabólica,239
moleculares,238
capacitação,237
genéticos,236
exercício,236
política,235
síndrome,235
imunoterapia,234
parkinson,233
memória,233
mama,233
geração,232
vigilância,231
anti,226
ufrpe,225
cerebral,224
risco,224
intestinal,221
carlos,221
restauração,221
transcriptoma,220
leveduras,219
carbono,218
receptores,217
criatividade,217
malária,216
anticorpos,215
estudos,214
anatomia,214
biológica,214
ecossistemas,214
comunicação,213
bactérias,212
vesículas,211
extracelulares,209
inibidores,209
cas9,209
fatores,207
envelhecimento,206
virologia,205
ação,205
única,204
populações,204
estrutura,203
mato,202
grosso,202
compostos,201
adaptação,201
microbioma,199
físico,197
bioprospecção,195
caatinga,195
aplicada,195
virulência,194
populacional,194
modelo,193
científicas,191
fauna,190
artificial,190
floresta,189
políticas,187
ufal,186
quimioterapia,186
sociedade,186
neurodegenerativas,186
macroecologia,183
metabólicas,183
polinização,181
inclusão,181
planejamento,180
tumoral,178
macrófagos,177
reprodução,176
alvos,175
talentos,175
ciclo,175
receptor,175
engenharia,175
germoplasma,175
depressão,173
humanas,171
inteligência,170
distribuição,170
relatório,168
parasitologia,168
neurodegeneração,168
marinha,167
renal,165
edição,165
arterial,164
cardiovascular,164
maker,164
alimentar,163
plasmodium,163
mecanismos,163
febre,163
cana,162
precisão,162
mitocôndria,160
ufms,160
toxinas,160
linfócitos,160
ansiedade,160
novas,159
médica,158
vascular,158
nova,158
mitocondrial,158
biomateriais,157
bioativos,157
stem,157
steam,157
planta,157
soja,156
beta,156
humano,156
