palavra,freq
saúde,10812
ebserh,1907
estudantes,1796
doenças,1774
enfermagem,1499
doença,1422
atenção,1358
epidemiologia,1319
covid,1298
pibiti,1081
médio,1078
primária,1074
câncer,1073
história,977
afirmativas,865
diagnóstico,839
obesidade,828
ações,818
promoção,786
vida,776
política,767
inclusão,738
ambiente,737
conhecimento,732
infantil,727
pública,701
gestão,701
risco,674
mental,632
humanas,619
criança,613
terapia,605
estudos,599
exercício,591
clínico,587
biomarcadores,586
cuidado,586
tratamento,579
diabetes,578
capacitação,577
prevenção,563
artificial,560
políticas,558
física,553
inflamação,547
alimentar,546
assistência,542
crônicas,522
tuberculose,521
inteligência,516
enic,505
sociais,503
ufrj,501
crônica,499
mortalidade,489
professores,488
serviços,487
fatores,486
renal,477
social,473
ufba,468
nanotecnologia,459
vigilância,451
células,450
sustentabilidade,448
resistência,434
pbic,430
controle,421
profissional,419
envelhecimento,418
violência,413
meio,413
coorte,412
produtos,408
reabilitação,405
espacial,400
paciente,398
bucal,392
treinamento,389
intervenção,385
acadêmica,377
transmissíveis,375
ensaio,375
materno,373
humanos,368
hipertensão,353
transtornos,351
estresse,348
tronco,347
físico,345
sociedade,342
infecção,341
efetividade,339
internacionalização,330
segurança,327
pulmonar,323
técnico,323
amazônia,322
satélite,321
nutricional,319
ufes,318
nutrição,318
crescimento,318
medicina,313
comunicação,312
leishmaniose,304
cuidados,301
arterial,300
síndrome,299
transtorno,298
sono,297
muscular,296
comportamento,295
cultura,294
cardiovasculares,294
registro,290
fármacos,289
mellitus,288
adolescente,287
pensamento,282
idoso,281
criatividade,275
digital,274
carlos,273
tecnológicas,272
único,269
informação,269
economia,267
cardíaca,266
funcional,265
vacina,265
indicadores,263
rara,260
equidade,260
alunospic,260
capacidade,259
microbiota,255
saude,254
genética,252
relatório,251
unicamp,250
incentivo,250
crianças,250
interdisciplinaridade,248
públicas,248
graduandos,245
coletiva,245
molecular,244
clínica,241
neoplasias,241
naturais,241
alimentos,237
celular,236
validação,236
medicamentos,234
teste,234
cardiovascular,234
sars,232
cientifica,232
ufms,228
odontologia,228
superior,227
consumo,227
dentária,226
metabolismo,222
humana,222
gênica,221
mulheres,221
deficiência,219
transplante,218
aprendizado,218
prognóstico,217
depressão,217
oral,213
sequenciamento,213
grosso,212
pucrs,211
idosos,210
cancer,210
intestinal,209
mato,209
desempenho,207
básica,207
alimentação,206
farmacêutica,205
longa,205
uepb,204
determinantes,202
infecções,200
ambiental,198
baseada,197
força,196
dieta,195
fisioterapia,195
acesso,193
ufal,192
corporal,191
oxidativo,189
cerebral,189
epidemiológicos,189
carcinoma,187
cárie,186
permanente,184
vascular,184
desigualdades,184
imunoterapia,183
mama,182
assunto,181
pandemia,180
poluentes,180
hanseníase,179
óleos,179
fadiga,179
infância,177
função,177
cirurgia,177
estimulação,176
lipídico,176
óssea,176
periodontite,175
impacto,175
negligenciadas,175
prevalência,173
expressão,173
insuficiência,173
mcti,171
cognição,168
modelos,168
mulher,166
máquina,165
parentalidade,165
biológicas,165
precoce,165
nanocarreador,164
cimatec,164
lion,164
marcadores,164
agentes,163
zika,163
lesão,162
regional,162
escola,162
custo,161
adolescentes,160
população,159
científicas,158
auditiva,158
ciencia,155
biotecnologia,154
evidências,152
materna,152
exposição,150
métodos,149
