palavra,freq
química,2429
física,2370
aprendizado,1793
médio,1622
pibiti,1602
computação,1522
máquina,1497
inteligência,1495
artificial,1446
teoria,1435
quântica,1411
modelagem,1306
redes,1247
mudanças,1230
energia,1229
dinâmica,1172
climáticas,1143
ambiental,1119
nanotecnologia,1078
modelos,1067
sustentabilidade,1022
saúde,1006
espectroscopia,999
computacional,955
métodos,921
astronomia,898
água,895
ambiente,875
sensoriamento,847
informação,846
remoto,832
software,830
aplicada,827
ambientais,803
sustentável,786
inteligentes,781
nanomateriais,760
molecular,759
otimização,744
sensores,738
amazônia,731
carbono,729
propriedades,719
biodiversidade,711
equações,704
startup,697
naturais,697
óptica,695
ufrj,694
meio,692
aceleração,691
aprendizagem,689
matéria,680
aberta,668
grafeno,666
matemática,664
early,652
stage,652
doutorado,650
engenharia,647
campos,630
evolução,626
complexos,622
conhecimento,621
nuclear,620
síntese,606
nanopartículas,605
eletrônica,604
mestrado,603
estrutura,600
processamento,589
dispositivos,585
compostos,579
data,570
polímeros,570
renováveis,561
cidades,554
monitoramento,552
resíduos,550
produtos,549
social,549
modelo,540
imagens,538
interação,536
avançados,534
pbic,533
catálise,518
humanos,510
ações,496
algoritmos,492
biotecnologia,491
clima,491
ondas,490
galáxias,488
costeira,485
transporte,482
hidrogênio,477
geometria,477
verde,475
desmatamento,468
fármacos,467
olimpíada,467
espacial,464
risco,463
inclusão,459
cosmologia,457
poluição,453
energias,450
afirmativas,449
grafos,439
orgânicos,438
quânticos,435
partículas,434
ufal,425
estatística,424
segurança,419
transferência,419
terras,418
efeito,418
analítica,415
linear,413
instrumentação,411
internet,411
enic,408
raras,400
marinha,396
astronáutica,395
problemas,393
metais,393
filmes,391
estudantes,390
oceano,389
foguetes,388
gestão,385
gelo,383
ufba,381
raman,379
mineração,378
petróleo,377
simulação,374
coisas,367
públicas,366
agricultura,365
micropoluentes,365
semicondutores,365
vulnerabilidade,363
ebserh,362
fase,361
astrofísica,355
biomas,354
câncer,353
nanoestruturas,352
alimentos,352
transição,351
terra,350
geoquímica,350
empreendedorismo,349
fotocatálise,348
políticas,347
relatório,346
biossensores,345
alertas,344
popularização,344
magnetismo,342
controle,341
spin,341
funcionais,340
fotônica,335
ópticas,334
raios,334
elementos,333
contaminantes,332
orgânica,330
acadêmica,329
bioeconomia,327
minerais,326
impactos,325
inpe,325
impacto,320
solar,319
humana,316
brasileiros,314
condensada,314
fluxo,312
massa,312
nanoestruturados,311
criatividade,309
programação,307
prodes,307
geologia,306
crescimento,306
indicadores,303
escura,301
fisica,301
ecologia,300
diferenciais,300
global,297
moléculas,295
internacionalização,295
agronegócio,295
economia,293
densidade,292
oceanografia,290
capacitação,287
jovens,286
técnicas,285
vida,285
learning,283
funcional,282
laser,281
radiação,281
junior,280
