palavra,freq
história,3146
política,3016
políticas,2309
médio,1996
social,1826
saúde,1806
pública,1290
públicas,1247
sociais,1176
inclusão,1074
professores,1051
cultura,1014
conhecimento,922
gênero,902
psicologia,892
afirmativas,854
ações,823
direitos,797
docente,760
educacional,747
sociologia,746
filosofia,736
democracia,731
amazônia,719
américa,716
patrimônio,710
escolar,697
teoria,688
básica,680
vida,678
violência,678
aprendizagem,673
propriedade,666
superior,663
direito,629
relações,627
antropologia,626
profissional,617
práticas,616
escola,616
humanos,614
sociedade,612
ufrj,608
justiça,600
cultural,557
memória,529
educacionais,520
matemática,513
redes,510
latina,505
acesso,505
desigualdades,501
urbana,493
sustentável,493
sustentabilidade,483
cientifica,479
ambiental,459
território,454
segurança,443
internacional,440
covid,437
mental,434
pensamento,432
arqueologia,425
currículo,417
acadêmica,398
internacionalização,397
intelectual,397
regional,391
estados,390
tradicionais,389
comportamento,380
material,378
governança,375
pbic,374
ambiente,374
campo,369
unidos,363
pibiti,358
diversidade,356
estudantes,355
espaço,355
gestão,348
representação,340
mulheres,339
pandemia,338
geografia,336
digitais,335
internacionais,330
propriedades,325
conflitos,324
desigualdade,322
enic,322
religião,322
família,319
centelha,317
escravidão,314
indígenas,311
brasileira,302
comunidades,299
digital,299
estudos,297
infantil,292
intervenção,291
urbano,291
economia,289
ufba,284
cidades,283
investigação,282
ética,279
rural,274
meio,270
cognição,259
participação,256
arte,252
indígena,252
etnografia,246
humana,244
epistemologia,243
criatividade,243
agricultura,242
crítica,242
humanas,240
crise,240
cidadania,237
uerj,237
identidade,236
ação,231
especial,228
planejamento,228
econômica,227
integração,227
movimentos,226
qualificação,225
rede,225
racismo,224
incentivo,223
infância,220
familiar,220
comparada,220
poder,219
linguagem,218
reforma,218
sexualidade,217
ufes,217
pucrs,217
psicanálise,216
saberes,213
narrativas,212
crianças,211
historiografia,211
mudanças,210
mestrado,208
jovens,208
público,207
animal,207
psicológica,204
relatório,203
guerra,201
lógica,200
ufal,199
doutorado,197
paisagem,197
natureza,196
prática,195
ufms,194
juventude,190
terra,189
letramento,186
mídia,185
regimes,185
comunicação,183
diplomacia,182
externa,182
capacitação,182
climáticas,181
biodiversidade,181
discente,180
militar,180
diferença,180
discurso,176
ditadura,176
graduandos,176
perspectiva,176
povos,175
humano,175
janeiro,174
carreira,174
corpo,173
percepção,173
intelectuais,173
elites,172
paulo,169
moral,169
experiência,169
metropolitana,167
estadual,167
feira,167
regiões,166
atenção,166
personalidade,166
novas,165
criminal,165
carlos,163
raciais,163
mobilidade,163
escrita,163
tempo,162
agrária,162
deficiência,162
campinas,161
econômico,160
governo,160
global,160
metropolitanas,159
cidade,159
histórica,157
curricular,157
ebserh,156
inteligência,156
crescimento,156
século,153
prevenção,153
leitura,153
raça,152
migração,152
organização,152
interdisciplinaridade,150
defesa,150
sexual,150
medio,149
escolas,149
administração,148
mercado,147
impactos,147
brasileiro,146
alfabetização,146
artificial,145
interculturalidade,144
pedagógica,144
vulnerabilidade,143
estética,143
habilidades,143
metafísica,143
aplicada,142
ufrpe,142
cooperação,140
continuada,139
integral,138
polítca,138
colaborativa,137
político,137
abordagem,137
territorial,135
método,135
modernidade,135
transtorno,134
agronegócio,133
opinião,132
ifsp,131
mundo,131
migrações,130
controle,130
representações,129
escolares,128
cuidado,128
trabalhadores,127
mudança,127
júnior,127
cotas,127
histórico,127
alimentação,126
ufpa,126
liberdade,125
ciencia,125
literatura,125
portugal,125
motivação,124
equidade,124
popular,123
alimentar,123
étnico,123
física,123
colonial,122
teologia,122
culturais,122
legitimidade,121
império,121
agroecologia,120
contemporânea,120
clínica,119
excelência,119
pedagogia,118
áfrica,117
subjetividade,117
ifmt,117
ecologia,117
conflito,116
química,115
comunidade,115
tecnológicas,114
universitária,114
goiás,113
energia,113
impacto,112
mato,112
grosso,112
fenomenologia,111
complexidade,111
primária,111
trajetórias,110
rurais,109
medicina,109
inclusiva,109
informação,109
decisão,108
crime,108
transformação,108
emoções,108
moralidade,107
risco,107
territoriais,107
crenças,107
relação,105
profissionais,105
territórios,105
reformas,105
sofrimento,104
historia,104
reconhecimento,104
subjetivação,104
minas,104
astronomia,103
fronteira,103
urbanos,103
didáticos,102
movimento,102
pobreza,102
circulação,102
associativismo,101
gerais,101
afro,101
adultos,101
unicamp,101
nordeste,101
ontologia,101
fundamental,100
imprensa,100
capitalismo,100
profissão,100
institucionalização,99
educativas,99
adolescência,99
afirmativa,99
imigração,98
produtos,98
tomada,98
mercados,98
espaços,97
ambientais,96
cognitivo,96
globais,96
ufgd,96
imagem,96
visual,95
exatas,95
transformações,95
biológicas,95
cooperativismo,95
políticos,95
psicometria,95
região,94
professor,94
neoliberalismo,94
junior,94
emoção,94
positiva,94
