palavra,freq
doutores,1954
social,1876
jovens,1764
fixação,1494
centelha,1214
comunicação,1112
políticas,1076
futuras,1071
cientistas,1068
genero,1065
stem,1065
política,968
gestão,921
médio,904
saúde,891
sustentabilidade,851
públicas,822
informação,802
economia,783
conhecimento,766
pública,762
sociais,658
urbana,634
fapemig,622
direito,620
digital,553
ufrj,547
urbano,516
sustentável,505
cultura,499
história,489
arquitetura,488
humanos,484
regional,481
planejamento,468
democracia,451
redes,443
direitos,442
design,418
cidades,409
ambiental,401
teoria,391
pibiti,389
governança,379
ações,374
afirmativas,371
serviço,367
turismo,357
patrimônio,349
digitais,339
amazônia,338
empreendedorismo,328
gênero,326
desempenho,324
mercado,322
inclusão,321
pbic,315
econômico,310
covid,292
vida,291
cidade,283
mudanças,281
doutorado,271
ambiente,271
jornalismo,270
crescimento,268
impacto,268
inteligência,263
cultural,263
américa,261
pandemia,257
qualificação,255
latina,245
profissional,240
desigualdade,237
consumo,237
risco,236
modelos,229
artificial,229
cidadania,226
climáticas,226
cientifica,224
práticas,222
diversidade,221
brasileira,218
chamada,216
internacionalização,215
público,214
empresas,214
econômica,212
urbanismo,210
justiça,210
cinema,206
plataformas,203
enic,203
organizacional,202
estudantes,200
agricultura,199
vulnerabilidade,199
indústria,199
urbanas,197
mídia,197
modelo,195
internacional,194
desigualdades,194
serviços,192
mobilidade,188
renda,188
criatividade,186
estudos,184
sociedade,183
administração,182
proteção,180
ufal,180
meio,178
capital,175
atração,175
memória,175
ebserh,171
mudança,171
organização,165
participação,165
jurídica,164
inteligentes,163
aprendizagem,163
acadêmica,163
cooperação,161
geração,160
ufba,159
comportamento,159
violência,158
fiscal,157
fapema,155
cooperativismo,153
desinformação,151
paisagem,150
finanças,147
pucrs,146
mulheres,146
migração,145
discurso,144
resiliência,144
ação,140
transformação,139
negócios,139
mulher,138
moderna,138
espaço,138
habitação,138
plataforma,137
contemporânea,136
representação,136
governo,136
audiovisual,136
eficiência,136
controle,135
pensamento,134
ética,133
mestrado,131
territorial,131
familiar,130
urbanização,129
setor,129
criativa,128
artes,128
integração,127
acesso,127
superior,127
imagem,126
ceará,126
urbanos,122
capacidades,121
estratégia,120
museus,120
conflitos,120
espaços,120
território,118
consumidor,117
janeiro,117
marketing,117
poder,116
dinâmica,116
empresa,116
ufes,115
incentivo,115
identidade,115
sustentáveis,115
rede,114
segurança,114
assistência,114
conservação,113
técnica,112
aplicada,112
dinâmicas,111
humano,111
jovem,111
capacidade,111
cadeias,111
rural,110
subsídios,110
climática,110
circular,109
local,109
relações,108
financeira,108
estratégias,108
base,107
espacial,107
transferência,107
transparência,107
família,106
acervo,106
regulação,105
doutor,105
crise,104
capitalismo,104
monetária,104
internet,104
visuais,104
campinas,103
arte,103
biodiversidade,103
crítica,102
produtividade,101
patrocínio,101
infantil,101
método,101
públicos,100
cadeia,100
organizações,100
impactos,99
alimentos,99
mídias,98
previsão,98
museologia,98
econometria,97
energia,96
documentação,95
corporativa,94
brasília,93
básica,93
brasileiro,93
indicadores,93
pobreza,92
ficção,92
agronegócio,92
graduandos,91
científicas,91
atenção,91
decisão,90
mortalidade,90
visual,89
jurídico,89
eletrônico,88
infraestrutura,88
adaptação,88
letramento,87
fixaçao,87
paulo,87
interdisciplinaridade,87
fatores,87
narrativa,86
culturais,86
global,86
competitividade,86
fronteira,85
acordo,85
geografia,85
equilíbrio,84
socioambiental,84
saneamento,84
assistiva,84
constitucional,83
efeito,83
imobiliário,83
motivação,83
nordeste,82
inflação,82
capacitação,82
abordagem,82
coleções,81
cotas,81
construção,81
santo,80
infância,80
epistemologia,80
desenvolimento,80
espírito,80
startup,80
mediação,79
interação,79
preservação,78
grosso,77
mato,77
narrativas,77
produto,77
único,77
estrutura,77
crédito,76
população,76
empreendimentos,76
ecologia,76
incerteza,75
primeira,75
convergência,75
geral,75
financeiro,75
brasileiras,75
pivic,75
água,75
popularização,75
data,74
ufms,74
região,74
macroeconomia,74
ecossistemas,74
museu,73
ambientais,73
riscos,73
verde,73
comércio,73
emprego,73
aprendizado,73
acadêmico,71
complexidade,70
pluralismo,70
contabilidade,70
uepb,70
demografia,70
experiência,70
produtos,69
carlos,69
ciclo,69
minas,68
internacionais,68
métodos,68
linguagem,68
aberta,68
junior,68
contábil,67
judicial,67
mitigação,67
learning,67
estética,67
monitoramento,67
gerais,67
música,66
novas,66
custos,65
agenda,65
competição,65
questão,65
modelagem,65
fecundidade,65
transição,65
televisiva,65
comunidades,64
envelhecimento,64
relatório,64
territórios,64
investimento,64
humana,64
cidadão,64
aceitação,64
liderança,63
tradicionais,63
escolar,63
previdência,63
equidade,63
performance,63
literacia,62
produtiva,62
responsabilidade,62
dimensão,62
soluções,62
carbono,62
mercados,62
histórico,61
informacionais,61
fundamentos,60
escola,60
suprimentos,60
jogos,60
taxa,60
estrutural,59
estratégicas,59
júnior,59
comunicativo,59
ecossistema,59
distribuição,59
semiárido,59
propriedade,58
contemporâneo,58
acessibilidade,57
regionais,57
demanda,57
industrial,56
tempo,56
criação,56
metainvestigação,55
financeirização,55
filosofia,55
terra,55
séries,55
arquivo,55
século,55
acontecimento,55
casa,55
recurso,55
custo,54
arranjos,54
colaborativa,54
conecte,54
unicamp,54
profissionais,53
cartografia,53
deficiência,53
imaginário,53
competência,53
morfologia,53
soberania,53
produtivas,53
indígenas,53
periferia,52
idoso,52
liberdade,52
popular,52
energética,52
ifsp,52
naturais,52
intervenções,52
reprodução,52
gastronomia,52
extensão,51
cidadã,51
ativismo,51
educacionais,51
resíduos,51
cooperativas,50
técnico,50
machine,50
circulação,50
básico,50
fortalecimento,50
habilitadoras,50
movimentos,50
desenho,50
pessoas,50
inovações,49
gerencial,49
imobiliárias,49
colaboração,49
distância,49
competências,49
mediações,49
organizacionais,49
ciencia,49
credibilidade,48
diferenças,48
historicidade,48
temporais,48
institucionalização,48
historiografia,48
mineração,48
valuation,48
sociologia,48
alimentar,48
destinos,48
informacional,48
subvenção,48
comparada,47
favela,47
contra,47
medidas,47
assessoria,47
turísticos,47
sergipe,47
engajamento,47
reforma,47
emergentes,47
ufma,46
livres,46
segregação,46
novos,46
civil,46
ifrn,46
povos,46
streaming,46
observatório,46
neoliberalismo,46
estratégica,46
agritech,45
2030,45
coletiva,45
câmbio,45
belém,45
percepção,45
contábeis,45
solo,45
humanas,45
turístico,45
mineral,44
criativas,44
painel,44
estadual,44
máquina,44
socioespacial,44
habitacional,44
pequenas,44
fundamentais,44
teorias,44
algoritmos,44
saberes,44
resistência,44
socioambientais,43
institucionais,43
ufgd,43
espaciais,43
intervenção,43
fotografia,43
bens,43
expansão,43
microeconomia,43
demográfica,43
olimpíadas,43
prioritárias,43
digitalização,42
crime,42
onze,42
estocástica,42
novo,42
tribunal,42
humanidades,42
material,42
ampliação,42
subjetividade,42
real,42
semiótica,42
politica,42
usabilidade,42
janelas,42
territoriais,42
hipermídia,42
discente,42
desafios,41
ufpa,41
populacional,41
político,41
imagens,41
cooperativa,41
adoção,40
natureza,40
politicas,40
unifacs,40
agentes,40
instrumentos,40
conforto,40
televisão,40
midiatização,40
conflito,40
inteligente,40
fapesb,40
desastres,39
comum,39
países,39
interseccionalidade,39
restauração,39
simulação,39
clima,39
mundial,39
apropriação,39
universitários,39
alimentação,39
culturas,39
midiáticas,39
tecnológicas,39
jornalística,39
concessão,38
comportamental,38
interações,38
escolas,38
favelas,38
comportamentais,38
produtivos,38
volatilidade,38
interesse,38
ocidental,38
quilombolas,38
malaria,38
raça,38
stakeholders,38
fluxos,38
ativo,38
vernácula,38
startups,38
habilidades,38
grandes,37
afirmativa,37
realidade,37
alteridade,37
investimentos,37
efeitos,37
negócio,37
campo,37
reputação,37
plano,37
science,37
marca,36
econômicos,36
inserção,36
revisão,36
tributária,36
negras,36
china,36
representações,36
regime,36
preços,36
bioeconomia,36
empreendedora,36
multinacionais,36
ativos,36
temporalidades,36
locais,36
cotidiano,36
histórica,36
estufa,36
orientação,35
mecanismos,35
rurais,35
natural,35
futuro,35
comunitária,35
idosos,35
emancipação,35
juventude,35
municípios,35
trabalhadores,35
catadores,35
aplicadas,35
inferência,35
edifícios,35
interorganizacionais,35
orçamento,34
repositório,34
nova,34
remoto,34
consolidação,34
transformações,34
ergonomia,34
unir,34
dependência,34
recuperação,34
urbanístico,33
carreira,33
seleção,33
firmas,33
moradia,33
integral,33
crimes,33
fundo,33
revolução,33
publicas,33
índice,33
reabilitação,33
preço,33
computacionais,33
goiás,33
ideias,33
ciclos,33
causal,32
professores,32
prospectiva,32
gases,32
inovadoras,32
seguro,32
cerâmica,32
corrupção,32
ufrpe,32
intelectual,32
portugal,32
capitais,32
patentes,32
textualidades,31
latino,31
economias,31
implementação,31
inovaçãotecnológica,31
metropolitana,31
municipal,31
hospitalidade,31
globais,31
difusão,31
comparado,31
accountability,31
uerj,31
alunospit,31
mapeamento,31
crises,31
metrópoles,31
fundiária,31
municipais,31
normas,31
educacional,31
turística,31
mental,31
manaus,30
coleta,30
virtual,30
ontologia,30
agrárias,30
