palavra,freq
energia,2932
controle,1915
pibiti,1823
modelagem,1748
engenharia,1632
otimização,1404
redes,1383
sustentabilidade,1366
resíduos,1316
inteligência,1201
artificial,1083
saúde,984
médio,921
inteligentes,896
computacional,895
processamento,886
água,881
aprendizado,831
segurança,828
renováveis,819
gestão,816
geração,813
nuclear,789
sustentável,785
simulação,757
energias,757
mecânica,755
internet,747
elétrica,747
nanotecnologia,733
estruturas,732
modelos,718
tratamento,715
compósitos,686
monitoramento,677
propriedades,674
potência,661
ligas,660
hidrogênio,648
indústria,645
máquina,624
sensores,622
coisas,618
polímeros,609
energética,608
grafeno,599
métodos,590
concreto,586
dinâmica,579
ambiental,570
ambiente,560
reciclagem,558
economia,553
meio,550
transporte,545
vida,544
manufatura,539
química,529
biomassa,518
elementos,518
eficiência,509
doutorado,498
sólidos,497
método,478
computação,476
humanos,468
carbono,466
desempenho,457
circular,457
eletrônica,452
alta,450
social,450
planejamento,444
robótica,443
corrosão,434
avançados,423
mestrado,418
distribuída,417
ufrj,415
fontes,406
solar,404
rede,403
veículos,403
afirmativas,398
sinais,396
pública,395
ações,383
fibras,374
conversores,372
enic,366
aplicada,366
novos,360
elétricos,359
verde,359
combustível,358
mineração,358
conhecimento,356
calor,355
nanopartículas,351
graduandos,346
linear,345
esgoto,344
armazenamento,342
aditiva,341
construção,340
petróleo,336
comunicações,331
ciclo,329
estrutural,326
decisão,324
digital,324
hídrica,323
modelo,322
transferência,319
valorização,317
solos,311
resistência,310
inclusão,309
óleo,309
fluxos,306
mobilidade,305
ondas,305
empresa,303
hídricos,303
capacitação,300
mecânicas,300
fluidos,299
biomateriais,298
acadêmica,297
solo,297
finitos,296
síntese,296
integração,294
matemática,294
distribuição,293
ebserh,293
imagens,292
células,291
estabilidade,290
offshore,285
urbana,283
cientifica,280
máquinas,278
produtos,277
renovável,276
instrumentação,276
programação,276
pbic,275
plasma,275
informação,275
empreendedorismo,274
numérica,274
micro,273
industrial,272
confiabilidade,271
águas,266
reatores,265
mudanças,265
radiação,265
captura,264
óxido,261
biotecnologia,261
metais,261
baterias,259
neurais,256
comunicação,255
cidades,255
problemas,254
operação,254
nióbio,253
interação,252
ambientais,252
ópticas,252
biocombustíveis,252
cerâmicos,251
térmica,251
mineral,250
cimento,249
espacial,248
impressão,247
dispositivos,245
correlatas,245
etanol,244
geotecnia,243
fotônica,242
redução,242
eólica,241
identificação,240
combustão,239
estrutura,239
fabricação,239
estudantes,239
teoria,238
microestrutura,238
escoamento,237
aços,234
membranas,233
biogás,231
autônomos,229
transmissão,228
crescimento,228
forense,227
sociedade,225
sólido,225
alto,224
previsão,224
transição,223
efeito,223
híbridos,221
biodiversidade,220
multicritério,218
experimental,218
logística,217
filmes,217
conversão,216
diagnóstico,215
motivação,214
efluentes,214
antenas,214
lineares,213
ufba,213
sensoriamento,213
nucleares,212
profissional,212
comportamento,211
cerâmicas,210
terras,210
adsorção,209
raras,209
climáticas,208
dosimetria,206
fadiga,206
recuperação,206
telecomunicações,204
vibrações,203
nanocompósitos,203
extração,202
física,202
políticas,202
elétricas,201
automação,200
refrigeração,198
reologia,198
metalurgia,197
soldagem,195
infraestrutura,195
carlos,195
civil,194
naturais,194
impacto,194
cadeia,193
semicondutores,192
climática,192
resfriamento,191
natural,190
política,190
revestimentos,190
catalisadores,189
vírus,189
aprendizagem,189
biogas,188
tensão,188
cultura,188
fibra,187
discente,186
sustentáveis,186
falhas,186
catálise,185
biomédica,184
técnicas,184
compostos,184
biodiesel,184
detecção,183
ensaios,183
separação,183
poliméricos,182
térmico,182
transformação,180
laboratorial,179
parâmetros,179
medicina,178
fase,177
microeletrônica,177
proteção,177
minerais,176
amazônia,176
estimação,174
covid19,173
estratégicos,172
metálicos,172
testes,171
virtual,171
finos,171
base,170
solares,167
remoto,167
unicamp,167
algoritmos,167
rejeitos,164
sensor,164
nanomateriais,164
microrredes,164
fotovoltaicos,163
titânio,163
internacionalização,163
revestimento,162
reforma,162
medio,162
câncer,162
líquido,161
desgaste,160
relação,160
variabilidade,159
industriais,159
nano,159
energéticos,158
avançada,158
realidade,158
metrologia,157
difusão,157
alumínio,156
cooperativos,156
poluentes,155
tribologia,155
acadêmico,154
combustíveis,154
operações,154
robusto,153
criatividade,153
químicos,153
gerenciamento,153
laser,152
excelência,152
pibit,152
saneamento,152
incertezas,151
material,151
operacional,150
nuvem,150
correntes,150
eletrônicos,150
biopolímeros,148
biomecânica,148
eletroquímica,147
pirólise,147
fotocatálise,146
bioprodutos,146
raios,145
risco,145
melhoria,145
ópticos,145
óxidos,145
ciclagem,143
fratura,142
learning,142
sinterização,142
espaciais,142
polímero,141
satélites,140
relatório,140
molecular,140
computacionais,140
emissões,140
liberação,140
ecohidrologia,139
indicadores,139
intensificação,139
fases,138
biogeoquímica,138
ensaio,137
multi,137
superfícies,136
termodinâmica,136
metálicas,135
fotovoltaica,134
fluxo,134
célula,134
mecânico,133
durabilidade,133
alternativas,133
urbano,132
nanofibras,132
solidificação,132
uerj,132
hidrometalurgia,132
incentivo,131
termofísica,130
inteligente,130
inclusao,130
distribuídos,130
pavimentos,130
humana,128
vigilância,128
roteamento,128
ifsp,128
manutenção,128
transportes,128
metano,127
solução,127
tecidos,127
tráfego,127
resíduo,127
integridade,126
multiescala,126
baixo,126
localização,126
produto,125
orgânicos,125
acústica,125
meios,124
vibração,123
cerâmica,123
superfície,123
semiárido,122
machine,122
econômica,122
adsorventes,122
residuais,122
democracia,121
nanotubos,121
integrada,120
contaminantes,120
reservatórios,120
ácido,120
emergentes,119
celulose,119
mistas,119
serviços,119
missões,118
microplásticos,118
genética,118
degradação,118
campo,117
motores,117
mecânicos,117
ufes,117
tempo,116
drones,116
ultrassom,116
biodegradáveis,116
desigualdades,115
bioeconomia,115
rejeito,114
data,114
baseado,114
reator,114
agricultura,113
madeira,113
governança,112
digitais,112
equilíbrio,112
microredes,112
dinâmicos,112
estáticos,111
públicas,111
estudos,111
cobre,111
heterogênea,110
nanofabricação,110
oxidação,110
circuitos,109
júnior,109
compósito,109
mama,108
propulsão,108
lítio,108
anaeróbia,108
serviço,108
biociências,108
consumo,108
controlada,107
colheita,107
estratégicas,107
escala,106
cargas,106
elétrico,106
fuzzy,106
custo,105
forma,105
preditivo,105
metamateriais,105
microalgas,105
estruturais,105
estocástica,105
visão,105
leito,104
design,104
engenharias,104
digestão,104
filtragem,104
propagação,103
biológica,103
grafos,103
eventos,103
informática,103
medidores,103
ferro,103
aéreo,102
médicas,102
heurísticas,102
descarbonização,102
industria,101
justiça,101
espectroscopia,100
baixa,100
danos,100
energético,100
impactos,100
reuso,99
flotação,98
óleos,98
fusão,98
óptica,97
liga,97
integrados,97
ambientes,97
competitividade,97
fluido,97
escoamentos,97
hidrodinâmica,97
tomada,97
vulnerabilidade,97
usinagem,97
monte,96
radiações,96
misturas,95
ufal,95
regeneração,95
microestrutural,95
satelite,94
inspeção,94
impedância,94
poliméricas,94
nanoestruturados,94
remoção,94
memória,93
oportunidades,93
criação,93
magnética,93
carlo,93
disseminação,92
regional,92
colaboração,92
móvel,92
enzimática,91
resiliência,91
científicas,91
lignina,91
dano,91
erosão,91
discretos,91
riscos,91
biológicos,90
nova,90
software,90
turbinas,90
pressão,89
temperatura,89
acesso,89
carga,89
empresas,88
limpa,88
meta,88
numéricos,88
aeronáutica,88
acoplamento,88
membrana,88
inteira,88
fármacos,87
purificação,87
agregado,87
cana,87
gradiente,86
funcional,86
filtros,86
educacional,86
alvenaria,86
cristalização,86
bioenergia,85
pensamento,85
multiobjetivo,85
drogas,85
entropia,85
matriz,84
desastres,84
medição,84
lodo,84
doenças,84
incerteza,83
biorrefinaria,83
incêndio,83
scaffolds,83
mista,83
carvão,83
marinhos,82
sedimentos,82
indústrias,82
matriciais,82
cimentícios,81
veículo,81
embalagens,81
polimerização,81
hardware,81
hidrológica,81
clima,81
agronegócio,81
covid,81
estatística,81
dióxido,81
termomecânicos,81
mitigação,81
componentes,81
radiologia,81
fisiológicos,80
séries,80
demanda,80
olimpíada,80
corte,80
agroindustriais,80
rochas,80
ultra,80
gases,80
fósforo,80
efeitos,80
negócio,79
cubesat,79
bagaço,79
aerodinâmica,79
gama,79
velocidade,79
animal,79
nanoestruturas,79
competividade,79
ativado,79
massa,78
magnéticos,78
precipitação,78
motor,78
vegetais,78
escalonamento,78
técnico,78
interface,78
real,77
suprimentos,77
tomografia,77
hidrogel,77
inovadores,77
poluição,77
potássio,77
amazonia,77
perfuração,76
oportunidade,76
estufa,76
atmosféricas,76
flexíveis,76
temporais,76
minério,76
terapia,76
drenagem,76
ufrpe,76
segunda,75
quantificação,75
quântica,75
glicerol,75
produtiva,75
eólicas,75
rápida,75
pequenos,75
zeólitas,75
stricto,74
sensu,74
deformação,74
setor,74
epidemiologia,74
condutividade,74
álcali,74
ativos,74
plataforma,74
local,74
restrições,74
ruído,74
eletromagnetismo,74
bateria,73
censipam,73
tráfico,73
classificação,73
combate,73
robusta,72
destrutivos,72
termografia,72
cinética,72
smart,72
orgânica,72
íons,72
frequência,72
iônicos,71
eletrofiação,71
reforço,71
nanoparticulas,71
analytics,71
qualificação,71
reforçado,71
ufscar,71
filme,70
novas,70
hidrólise,70
líquidos,70
fermentação,70
dutos,70
funcionais,70
envelhecimento,70
salinidade,70
artificiais,69
hidrogéis,69
linguagem,69
compressão,69
armazenagem,69
diesel,69
consolidação,69
defesa,68
inversos,68
turbina,68
urbanos,68
pucrs,68
inoxidáveis,68
ifba,68
básica,68
inpe,68
biocompatibilidade,68
vapor,67
ativação,67
talentos,67
radioterapia,67
híbrido,67
compositos,67
tratamentos,67
críticos,67
porosos,67
funcionalização,67
códigos,66
densidade,66
turbulência,66
econômico,66
vegetal,66
conversor,66
camada,66
polissacarídeos,66
óssea,66
aquicultura,66
blindagem,66
efluente,66
microscopia,66
equipamentos,66
viária,66
microplástico,65
plásticos,65
combinatória,65
móveis,65
tensões,65
predição,65
urbanas,65
caos,65
concentração,65
quitosana,65
barreira,65
injeção,65
aspersão,65
deficiência,65
argamassa,65
nutrição,65
bacias,65
grandes,65
fundações,64
ifrn,64
dimensionamento,64
atrito,64
falha,64
fluviais,64
nitrogênio,64
alimentos,64
bacia,64
defeitos,64
geopolímeros,64
popularização,63
beneficiamento,63
vento,63
geometria,62
níquel,62
modulares,62
satélite,62
alocação,62
índice,62
enzimas,62
moles,62
navegação,62
barragens,62
hidrologia,62
absorção,61
celular,61
superficial,61
eletromagnética,61
faltas,61
híbrida,61
ciencia,61
ferroelétricos,61
estocásticos,61
antimicrobiano,61
biodegradação,60
longo,60
contorno,60
superior,60
grosso,60
mato,60
imagem,60
parcerias,60
extrusão,60
agronomia,59
lixo,59
lixiviação,59
metal,59
ativas,59
nanofluidos,59
dinâmico,59
estudante,59
problema,59
tolerância,59
sars,59
soja,59
referência,59
navios,59
fenômenos,59
tubos,59
radiômica,59
lama,59
geomateriais,58
partículas,58
conforto,58
marés,58
embarcados,58
espaço,58
vidro,58
topológica,58
balanço,58
limite,58
aditivos,58
físico,58
genômica,58
escola,58
recicláveis,57
catadores,57
prazo,57
equações,57
onda,57
uepb,57
biocombustível,57
ifmt,56
estimulação,56
biomédicos,56
mudança,56
locomoção,56
eletricidade,56
padrões,56
reação,56
feixe,56
gaseificação,56
elasticidade,56
módulo,56
variáveis,56
rádio,56
atmosférica,56
análises,55
deposição,55
toxicidade,55
produtivo,55
missão,55
açúcar,55
amido,55
painéis,55
abordagem,55
frio,55
oxidativos,55
cotas,55
prioritárias,55
cmos,54
aeroespacial,54
enzimáticos,54
preditiva,54
adaptativa,54
coleta,54
perovskitas,54
rápidos,54
agregados,54
arco,54
extensão,54
cálcio,54
condutores,54
catalisador,54
planta,54
térmicas,54
raman,54
doença,54
oceánicas,54
doutores,54
adaptativo,54
difração,53
robôs,53
monitoração,53
implantes,53
metaheurísticas,53
biometano,53
conservação,53
acelerador,53
complexas,53
profundo,53
técnica,53
sociais,53
tropicais,53
nutrientes,53
têxtil,53
secas,53
alerta,53
atraso,53
mimo,53
cerâmico,53
tijolos,53
infra,52
terra,52
drone,52
hidretos,52
magnético,52
alimentar,52
perfis,52
laboratório,52
aproveitamento,52
açaí,52
aplicado,52
chip,52
bioimpressão,52
aviação,52
fonte,52
acessibilidade,52
carbonatação,51
hipersônica,51
acidentes,51
parceira,51
remediação,51
assistida,51
codificação,51
campinas,51
público,51
periódicas,51
resposta,51
juntas,51
startup,51
asfálticas,51
livre,51
fotovoltaico,51
cadeias,51
nanofios,51
veiculaçào,50
originários,50
astronomia,50
povos,50
digitalização,50
multicomponentes,50
deslizamentos,50
biochar,50
temas,50
mamografia,50
catalise,50
reabilitação,50
modelamento,50
descargas,50
profunda,50
corantes,50
prevenção,50
óptico,50
ecológicos,50
blendas,50
tenacidade,50
umidade,50
junior,50
convolucionais,49
aeroespaciais,49
bioativos,49
hidráulica,49
vinhaça,49
areia,49
termoelétricos,49
gerência,49
pontes,49
ponta,49
curativos,49
validação,49
subprodutos,49
inoxidável,49
academia,49
tucumã,49
ótimo,49
valoração,49
carbeto,49
assistiva,48
hidrotermal,48
metanol,48
vermelha,48
ressonância,48
chuva,48
poli,48
textura,48
malha,48
fluorescência,48
vazão,48
nanocelulose,48
banco,48
conexão,48
tribocorrosão,48
escolas,48
ótica,48
mecanica,48
fluidodinâmica,48
recobrimentos,48
pirocloro,48
niobato,48
térmicos,48
piloto,48
colossoma,47
niloticus,47
fundição,47
aeronaves,47
eletroeletrônicos,47
precisão,47
perdas,47
rachycentron,47
oreochromis,47
multifásico,47
chumbo,47
viabilidade,47
integrado,47
biossensores,47
corrente,47
vannamei,47
remineralizadores,47
canadum,47
multifuncionais,47
útil,47
litopennaeus,47
macropomum,47
suspensão,47
magnéticas,46
mecatrônica,46
matemático,46
bayesiana,46
guiados,46
filas,46
interfaces,46
chapas,45
discretas,45
estadual,45
estabilização,45
ímãs,45
multivariada,45
pele,45
recarga,45
cariri,45
pedra,45
modificação,45
antimicrobiana,45
reconhecimento,45
gnss,45
integral,45
imobilização,45
treinamento,45
anaeróbios,45
ferramentas,45
inventário,44
interna,44
abastecimento,44
bioquímicos,44
cisalhamento,44
prata,44
manejo,44
filtro,44
nióbico,44
biocarvão,44
metamodelos,44
zero,44
computador,44
hidrogenio,44
multiferroicos,44
bragg,44
sanitária,44
amazonas,44
sanitário,44
fotovoltaicas,44
subterrâneas,44
eólicos,44
troca,44
marítimo,43
inundação,43
experimentos,43
propriedade,43
eletroquímicos,43
diversidade,43
pavimentação,43
biológico,43
luminescência,43
ufms,43
nitretação,43
modos,43
perovskita,43
foto,43
lajes,43
inferência,43
limpas,43
trocadores,43
refratários,43
condução,43
granular,43
biocatálise,42
contato,42
axial,42
secagem,42
fuel,42
pessoa,42
alternativos,42
twin,42
complexos,42
upcycling,42
multiníveis,42
capacidade,42
mapeamento,42
minérios,42
cérebro,42
iônica,42
residuárias,42
nêutrons,42
silício,42
destilação,41
condição,41
imuno,41
força,41
parkinson,41
protocolos,41
equação,41
investigação,41
parceria,41
histoquímica,41
combinatoria,41
contaminação,41
lotes,41
pogli,41
imageamento,41
agrominerais,41
vigas,41
agropecária,41
antiviral,41
acústico,41
antimicrobianos,41
agropecuária,41
torres,41
carregamento,40
adaptação,40
expansão,40
termociências,40
tio2,40
magnésio,40
ufsc,40
ligantes,40
resídios,40
