palavra,freq
ebserh,355
semiárido,87
meio,85
ambiente,85
sustentável,60
saúde,53
mestrado,50
humanos,44
qualificação,44
stricto,43
nordestino,43
sensu,43
produtividade,42
única,42
desigualdades,42
superior,40
redes,40
universitária,40
sustentabilidade,34
pitebserh,28
aquicultura,26
pesca,26
graduandos,26
doutorado,24
graduaçào,24
novos,21
patentes,21
geração,21
impacto,21
biodiversidade,21
produtos,21
publicações,21
alto,21
internacionalização,21
includente,19
economia,15
circular,15
transição,15
energética,15
biocombustíveis,15
avançados,15
renováveis,15
energias,15
bioprodutos,14
micorrizas,14
citronela,14
terpenos,14
conservação,11
biotecnologia,11
biofertilizante,11
bahia,10
exploração,10
regional,10
agricultura,8
ambiental,8
nutrientes,8
nanotecnologia,8
pome,3
bioremediação,3
microalgas,3
vinhaça,3
