palavra,freq
olimpíadas,10129
conhecimento,10051
mentoria,9923
popularização,1174
doutores,1095
fixação,1058
jovens,905
feira,854
faperj,638
cultura,617
sustentabilidade,517
mostra,431
básica,366
matemática,365
centelha,342
ambiental,333
sustentável,276
ebserh,243
olimpíada,217
museus,216
feiras,208
comunicação,208
científicas,208
médio,207
engenharia,202
formal,199
interdisciplinaridade,184
amazonas,180
alto,176
saúde,168
bioeconomia,166
robótica,163
oceano,162
astronomia,160
pública,148
sociais,147
gestão,146
redes,144
professores,139
empreendedorismo,138
museu,133
cientifica,132
amazônia,127
costeira,127
alimentos,125
social,123
mestrado,122
inovadores,120
parceria,115
transformação,114
alfabetização,113
química,111
discentes,106
doutorado,104
integração,102
física,100
acessibilidade,98
controle,97
difusão,96
biomas,94
mulheres,93
escolas,92
transversalidade,91
inclusão,91
nanotecnologia,88
interação,84
digital,84
escola,81
cientistas,81
sociedade,80
virtuais,77
agenda,76
empreendimentos,75
feminina,74
sertão,74
2030,74
criatividade,74
internacionalizaçao,73
bahia,71
mapeamento,69
política,67
móvel,66
interculturalidade,65
municipal,64
circuitos,64
consolidação,63
meninas,63
comunidades,62
coleção,61
amazonia,60
público,60
interiorização,60
criança,59
quimeninas,58
pnoq,58
espaços,57
tradicionais,57
biodiversidade,57
etnográfica,55
banco,55
mudanças,55
objectivos,55
maker,54
oceânica,53
docente,53
ciencias,52
museal,52
fortalecimento,51
cidadania,50
sensores,50
alunospic,49
maranhão,49
jornada,49
ambiente,48
marinha,48
aprendizagem,48
estudos,48
minas,47
gerais,47
planetário,46
snct,45
exposições,45
bosque,45
mediação,45
subvenção,45
água,44
extensão,44
animado,44
desenho,44
sensibilização,44
melhoria,44
protegida,44
técnico,43
virtual,43
inteligência,43
antártica,42
método,42
dispositivos,42
escolares,42
júnior,41
pará,41
climáticas,41
tratamento,41
energia,40
artificial,40
biologia,40
meio,40
modelagem,40
estudantes,39
bioprodutos,39
locais,39
poluição,39
sergipe,38
juventude,38
conservação,37
objetos,37
transmídia,37
mostras,37
austral,37
cmos,37
história,37
saberes,37
itinerante,37
realidade,37
computacional,37
diversidade,37
problemas,36
nordeste,36
