palavra,freq
ebserh,1275
pibiti,339
médio,242
energia,216
saúde,196
artificial,177
redes,176
inteligência,173
ufba,139
resíduos,139
aprendizagem,136
doenças,135
inteligentes,127
controle,122
máquina,122
diagnóstico,122
aprendizado,120
indústria,119
computacional,114
sustentabilidade,113
digital,108
gestão,105
produtos,105
social,101
nanotecnologia,99
amazônia,98
processamento,96
nanopartículas,93
melhoramento,93
inclusão,91
água,89
internet,88
manufatura,88
realidade,87
transferência,86
sensores,86
alunospic,85
computação,82
estudantes,81
óleo,81
virtual,80
ambiental,79
coisas,78
empreendedorismo,78
plantas,76
sustentável,74
software,72
tratamento,72
modelagem,72
petróleo,71
biotecnologia,71
ambiente,70
simulação,70
alimentos,69
resistência,68
fármacos,68
mineração,66
segurança,65
agricultura,64
monitoramento,64
visão,63
natural,61
covid,60
meio,60
engenharia,59
industrial,59
otimização,58
aditiva,58
dispositivos,55
cientifica,55
elétrica,55
economia,54
biomassa,54
robótica,53
geração,53
química,52
eficiência,51
solar,51
câncer,51
afirmativas,51
liberação,51
naturais,50
fibra,49
extração,49
resíduo,49
nuclear,48
laser,47
comunicação,47
novos,46
genético,46
compósitos,45
detecção,45
plataforma,45
células,45
biogás,44
neurais,44
learning,44
sensor,44
impressão,43
sociais,43
modelos,43
digitais,43
ações,43
reciclagem,42
unicamp,42
mineral,42
educacionais,42
inspeção,42
política,42
industria,42
energias,42
automação,42
funcionais,41
métodos,41
inteligente,41
cultivares,41
design,41
nanomateriais,40
smart,40
instrumentação,40
ferro,39
molecular,39
jogos,39
serviços,39
rede,39
proteção,38
integração,38
material,38
informação,37
produto,37
ifsp,36
manutenção,36
bactérias,36
recuperação,36
crônicas,36
terapia,35
verde,35
renováveis,35
medição,35
grafeno,35
lignina,35
imagens,35
alta,34
educacional,34
lítio,34
rochas,33
linguagem,33
teste,33
vida,33
tempo,33
capacitação,32
óleos,32
leite,32
antimicrobianos,32
propriedades,32
hugg,32
unirio,32
depressão,32
infeciosas,32
controlada,32
desempenho,31
gerais,31
combustão,31
humana,31
energética,31
minas,31
doença,31
cidades,31
biodiesel,31
transformação,31
ambientes,30
aumentada,30
decisão,30
ornamentais,30
embarcados,30
alimentação,30
síntese,30
leishmaniose,30
nuvem,30
cultura,30
compostos,30
mobilidade,29
vacina,29
incentivo,29
máquinas,29
diabetes,29
móvel,29
industriais,29
ultrassom,29
aplicada,29
verdes,29
spray,28
polímeros,28
armazenamento,28
efluentes,28
assistiva,28
inserção,28
captura,28
deficiência,28
ondas,27
técnicas,27
fotônica,27
profundo,27
sars,27
agronegócio,27
pensamento,27
filmes,27
júnior,26
pele,26
campinas,26
enfermagem,26
antioxidante,26
novas,26
estabilidade,26
carbono,26
precisão,26
híbridos,26
estimulação,26
sociedade,26
serviço,25
reabilitação,25
biodegradáveis,25
pessoas,25
enic,25
defesa,25
glicerina,25
artificiais,25
recombinante,25
alimentar,25
políticas,25
sinais,25
uepb,24
cerâmicas,24
fotovoltaica,24
beneficiamento,24
corrente,24
essencial,24
real,24
cidadania,24
infravermelho,24
vegetal,24
minério,24
manejo,24
aquicultura,24
eletrônica,24
nióbio,24
crítico,24
renovável,24
familiar,23
medicinais,23
gamificação,23
seleção,23
bioprodutos,23
hidrogênio,23
polímero,23
micro,23
correlatas,23
cimento,23
secagem,23
fibras,23
falhas,23
corrosão,23
pirólise,23
móveis,23
etanol,23
biomateriais,22
vegetais,22
fotovoltaicos,22
programação,22
reconhecimento,22
shearografia,22
medicina,22
senso,22
circular,21
rural,21
animal,21
baterias,21
humano,21
valorização,21
antimicrobiano,21
sensoriamento,21
aplicativo,21
ópticas,21
dispositivo,21
elétricas,21
distribuição,21
revestimento,21
construção,21
conhecimento,20
fluxo,20
fermentação,20
crispr,20
óxido,20
gerenciamento,20
distribuídos,20
física,20
elétricos,20
usinagem,20
farmacêutica,20
hardware,20
concreto,20
agroindustriais,20
plasma,20
orgânica,20
phaseolus,20
integrada,20
prevenção,20
medicamentos,20
produtiva,20
veículos,20
borda,20
poliméricos,20
humanos,20
pública,20
acessibilidade,20
graduandos,19
motivação,19
agrícolas,19
visual,19
nanocelulose,19
base,19
comunicações,19
vulgaris,19
perdas,19
bioativos,19
predição,19
ciclo,19
solidária,19
peptídeos,19
colheita,19
chagas,19
computacionais,19
ufrj,19
compósito,19
potência,19
solo,19
práticas,18
informática,18
protocolos,18
polimerização,18
óptica,18
aditivos,18
essenciais,18
silício,18
solares,18
perfuração,18
embalagens,18
cosméticos,18
biossensores,18
líquidos,18
pressão,18
hidrólise,18
conversores,18
produtividade,18
custo,18
bioeconomia,18
fabricação,18
recombinantes,18
remoto,18
agroindústria,18
umidade,17
ativo,17
tuberculose,17
café,17
emissões,17
enzimas,17
nanofibra,17
ácido,17
proteína,17
distribuída,17
avançada,17
contaminantes,17
ensaios,17
genética,17
biológico,17
tuberculosis,17
internacionalização,17
prata,17
baixa,17
cacau,17
catalisadores,17
mycobacterium,16
metálicos,16
glicerol,16
treinamento,16
cadeia,16
purificação,16
profissional,16
certificação,16
ópticos,16
efeito,16
nanocompósitos,16
reservatórios,16
fluido,16
formulação,16
biocombustíveis,16
agroindustrial,16
genômica,16
densidade,16
grafite,16
antimicrobiana,16
pará,16
superior,16
conservação,16
virtuais,16
radiação,16
ambientais,16
sólidos,16
método,16
infantil,16
fungos,16
limpa,15
negligenciadas,15
biomédica,15
iônicos,15
fepam,15
registro,15
públicas,15
voluntários,15
impacto,15
analíticos,15
biocombustível,15
oxidação,15
nanoestruturas,15
básica,15
campo,15
residuais,15
cancer,15
insulina,15
bomba,15
helianthus,15
planejamento,15
madeira,15
cálcio,15
medicamento,15
nutrientes,15
interação,15
elétrico,15
residual,15
bacillus,15
redução,15
privacidade,15
aditivo,15
siderurgia,15
metrologia,15
escolas,15
biorremediação,15
vírus,15
térmica,15
sólido,15
estufa,15
mimo,15
bebida,15
inovadores,15
laboratório,14
marcadores,14
impulsionado,14
empresas,14
combustível,14
beta,14
membranas,14
letramento,14
planta,14
adubação,14
objetos,14
interna,14
gases,14
proteínas,14
subprodutos,14
indígenas,14
drying,14
extensão,14
anti,14
alto,14
toxina,14
queijo,14
destrutivos,14
baixo,14
satélites,14
imobilização,14
logística,14
negros,14
ativos,14
aços,14
algorítmos,14
técnico,14
frio,14
testes,14
vitro,14
campos,14
solos,13
conversor,13
