"ano","grande_area","total"
"2006","Ciências Biológicas","6300"
"2003","Ciências Exatas e da Terra","56221881.60"
"2003","Ciências Biológicas","47151879.93"
"2003","Engenharias","43405143.43"
"2003","Ciências Humanas","35445219.33"
"2003","Ciências Agrárias","34939940.05"
"2003","Ciências da Saúde","20598199.92"
"2003","Ciências Sociais Aplicadas","15224473.34"
"2003","Lingüística, Letras e Artes","11593489.22"
"2003","Outra","1514123.96"
"2003","Indefinido","122510.58"
"2004","Ciências Exatas e da Terra","92373640.54"
"2004","Ciências Biológicas","77017280.35"
"2004","Engenharias","68986105.27"
"2004","Ciências Agrárias","57037372.04"
"2004","Ciências Humanas","51576482.49"
"2004","Ciências da Saúde","32275960.53"
"2004","Ciências Sociais Aplicadas","24716662.56"
"2004","Lingüística, Letras e Artes","17310336.85"
"2004","Outra","4808358.88"
"2004","Indefinido","244662.97"
"2005","Ciências Exatas e da Terra","99254150.59"
"2005","Ciências Biológicas","82924863.72"
"2005","Engenharias","77015735.51"
"2005","Ciências Agrárias","61409645.46"
"2005","Ciências Humanas","54333329.34"
"2005","Ciências da Saúde","35443140.64"
"2005","Ciências Sociais Aplicadas","26285908.86"
"2005","Lingüística, Letras e Artes","18113421.87"
"2005","Outra","6151859.84"
"2005","Indefinido","1078096.02"
"2006","Ciências Exatas e da Terra","124636703.36"
"2006","Ciências Biológicas","102117975.78"
"2006","Engenharias","100542085.04"
"2006","Ciências Agrárias","72508460.68"
"2006","Ciências Humanas","65319472.36"
"2006","Ciências da Saúde","45617841.70"
"2006","Ciências Sociais Aplicadas","30790320.90"
"2006","Lingüística, Letras e Artes","19840517.40"
"2006","Outra","11055030.33"
"2006","Indefinido","465566.15"
"2007","Ciências Exatas e da Terra","182359302.51"
"2007","Engenharias","177678347.41"
"2007","Ciências Biológicas","177005471.14"
"2007","Ciências da Saúde","126611555.80"
"2007","Ciências Agrárias","107109914.02"
"2007","Ciências Humanas","83868001.79"
"2007","Ciências Sociais Aplicadas","43064787.06"
"2007","Lingüística, Letras e Artes","23541262.77"
"2007","Outra","19919855.99"
"2007","Indefinido","1212931.51"
"2008","Ciências Biológicas","221744273.07"
"2008","Ciências Exatas e da Terra","213771106.99"
"2008","Engenharias","163305386.78"
"2008","Ciências Agrárias","152185655.19"
"2008","Ciências da Saúde","121711958.00"
"2008","Ciências Humanas","98864199.30"
"2008","Ciências Sociais Aplicadas","48479166.85"
"2008","Lingüística, Letras e Artes","28180422.14"
"2008","Outra","26933407.15"
"2008","Indefinido","3052865.11"
"2009","Ciências Exatas e da Terra","235746923.38"
"2009","Ciências Biológicas","223040251.63"
"2009","Ciências Agrárias","216294074.67"
"2009","Engenharias","186335291.86"
"2009","Ciências da Saúde","128740162.22"
"2009","Ciências Humanas","114324429.61"
"2009","Ciências Sociais Aplicadas","55260562.38"
"2009","Outra","33690521.44"
"2009","Lingüística, Letras e Artes","31257531.82"
"2009","Indefinido","5250851.46"
"2009","Tecnologias","1200"
"2010","Ciências Exatas e da Terra","298695790.43"
"2010","Ciências Biológicas","279342651.27"
"2010","Ciências Agrárias","251520153.03"
"2010","Engenharias","229213296.03"
"2010","Ciências da Saúde","162472706.22"
"2010","Ciências Humanas","144397235.55"
"2010","Ciências Sociais Aplicadas","68564812.30"
"2010","Outra","61821166.58"
"2010","Lingüística, Letras e Artes","35154698.07"
"2010","Indefinido","5590029.93"
"2010","Tecnologias","893379.99"
"2011","Ciências Exatas e da Terra","275936563.57"
"2011","Ciências Biológicas","250615630.44"
"2011","Ciências Agrárias","244427412.34"
"2011","Engenharias","218531675.00"
"2011","Ciências da Saúde","150105725.30"
"2011","Ciências Humanas","141817265.30"
"2011","Ciências Sociais Aplicadas","67770972.09"
"2011","Outra","54144651.01"
"2011","Lingüística, Letras e Artes","37088831.44"
"2011","Indefinido","4662273.26"
"2011","Tecnologias","2577042.82"
"2012","Ciências Exatas e da Terra","347735580.62"
"2012","Engenharias","336273258.30"
"2012","Ciências Biológicas","305927348.85"
"2012","Ciências Agrárias","245239306.85"
"2012","Ciências da Saúde","189876908.41"
"2012","Ciências Humanas","151629069.61"
"2012","Ciências Sociais Aplicadas","106703883.97"
"2012","Outra","68235770.19"
"2012","Lingüística, Letras e Artes","43249514.59"
"2012","Tecnologias","10308497.05"
"2012","Indefinido","4532191.87"
"2013","Engenharias","498409451.61"
"2013","Ciências Exatas e da Terra","426546869.94"
"2013","Ciências Biológicas","370566940.33"
"2013","Ciências Agrárias","268735590.19"
"2013","Ciências da Saúde","251923205.86"
"2013","Ciências Sociais Aplicadas","185490646.61"
"2013","Ciências Humanas","179080687.96"
"2013","Outra","90535893.60"
"2013","Lingüística, Letras e Artes","51859671.22"
"2013","Tecnologias","19608685.55"
"2013","Indefinido","4265196.54"
"2014","Engenharias","850049091.05"
"2014","Ciências Exatas e da Terra","542700645.82"
"2014","Ciências Biológicas","433920837.81"
"2014","Ciências da Saúde","365558949.18"
"2014","Ciências Agrárias","310581236.02"
"2014","Ciências Sociais Aplicadas","281107631.28"
"2014","Ciências Humanas","174044273.29"
"2014","Outra","106913656.52"
"2014","Lingüística, Letras e Artes","48752867.81"
"2014","Tecnologias","20050643.29"
"2014","Indefinido","1640870.05"
"2015","Engenharias","633300663.42"
"2015","Ciências Exatas e da Terra","469602191.43"
"2015","Ciências Biológicas","370946487.37"
"2015","Ciências da Saúde","317235608.04"
"2015","Ciências Agrárias","275085804.23"
"2015","Ciências Sociais Aplicadas","233886903.22"
"2015","Ciências Humanas","183868584.17"
"2015","Outra","84750038.40"
"2015","Lingüística, Letras e Artes","51438302.42"
"2015","Tecnologias","15352166.79"
"2015","Indefinido","865218.43"
"2016","Engenharias","449908726.38"
"2016","Ciências Exatas e da Terra","383370181.44"
"2016","Ciências Biológicas","337944889.58"
"2016","Ciências Agrárias","243039803.75"
"2016","Ciências da Saúde","227538223.75"
"2016","Ciências Humanas","164176716.02"
"2016","Ciências Sociais Aplicadas","136539609.91"
"2016","Outra","66404604.99"
"2016","Lingüística, Letras e Artes","44010973.81"
"2016","Tecnologias","15248793.85"
"2016","Indefinido","2891200"
"2017","Ciências Exatas e da Terra","291508654.20"
"2017","Engenharias","268875390.78"
"2017","Ciências Biológicas","240147560.94"
"2017","Ciências Agrárias","191118115.13"
"2017","Ciências da Saúde","157949519.98"
"2017","Ciências Humanas","148141205.89"
"2017","Ciências Sociais Aplicadas","75143604.57"
"2017","Outra","47121896.20"
"2017","Lingüística, Letras e Artes","42508541.75"
"2017","Tecnologias","14937069.75"
"2017","Indefinido","4026500"
"2018","Ciências Exatas e da Terra","276839526.40"
"2018","Ciências Biológicas","252417786.40"
"2018","Engenharias","226455141.90"
"2018","Ciências Agrárias","192584560.67"
"2018","Ciências da Saúde","175104279.11"
"2018","Ciências Humanas","148951726.23"
"2018","Ciências Sociais Aplicadas","77720680.58"
"2018","Outra","46384654.05"
"2018","Lingüística, Letras e Artes","41899885.23"
"2018","Tecnologias","15307427.12"
"2018","Indefinido","6341900"
"2019","Ciências Exatas e da Terra","251768032"
"2019","Ciências Biológicas","237448270"
"2019","Engenharias","192131735"
"2019","Ciências da Saúde","181946100"
"2019","Ciências Agrárias","174809582"
"2019","Ciências Humanas","139871004"
"2019","Ciências Sociais Aplicadas","86579005"
"2019","Lingüística, Letras e Artes","41403135"
"2019","Outra","41027377"
"2019","Tecnologias","16043146"
"2019","Indefinido","7626200"
"2021","Engenharias","208133406.03"
"2021","Ciências Biológicas","201320792.00"
"2021","Ciências Exatas e da Terra","195478389.81"
"2021","Ciências da Saúde","176784688.30"
"2021","Ciências Agrárias","137739313.82"
"2021","Ciências Humanas","114594397.39"
"2021","Ciências Sociais Aplicadas","60687038.77"
"2021","Lingüística, Letras e Artes","36334028.02"
"2021","Outra","33943768.90"
"2021","Tecnologias","18199734.00"
"2021","Indefinido","288820.00"
"2022","Ciências Exatas e da Terra","945086810.29412"
"2022","Ciências Humanas","325274787.81915"
"2022","Ciências da Saúde","302411253.33501"
"2022","Ciências Agrárias","296250283.90040"
"2022","Ciências Biológicas","239447284.77881"
"2022","Engenharias","208631223.34174"
"2022","Ciências Sociais Aplicadas","147895866.10108"
"2022","Lingüística, Letras e Artes","107863092.96031"
"2022","Tecnologias","90167592.14400"
"2022","Outra","25305701.93600"
"2022","Indefinido","400000"
"2023","Ciências Biológicas","479552037.78"
"2023","Ciências Exatas e da Terra","478897233.48"
"2023","Engenharias","379247711.75"
"2023","Ciências Agrárias","279563149.38"
"2023","Ciências da Saúde","260113421.76"
"2023","Ciências Humanas","197174800.92"
"2023","Ciências Sociais Aplicadas","152027434.09"
"2023","Outra","96085522.26"
"2023","Lingüística, Letras e Artes","51827590.17"
"2023","Não se aplica","35572400.00"
"2023","Tecnologias","19348856.00"
"2023","Não informado","2675585.60"
"2024","Ciências Biológicas","425960765.27"
"2024","Ciências Exatas e da Terra","413417776.27"
"2024","Ciências da Saúde","361136064.90"
"2024","Engenharias","299880848.05"
"2024","Ciências Agrárias","249744559.93"
"2024","Ciências Humanas","215565171.42"
"2024","Ciências Sociais Aplicadas","154241215.52"
"2024","Outra","64671717.77"
"2024","Lingüística, Letras e Artes","52898937.90"
"2024","Não se aplica","31651860.00"
"2024","Tecnologias","24454267.93"
"2024","Não informado","5851199.20"
"2025","Ciências Biológicas","8484837822.00"
"2025","Ciências Exatas e da Terra","5764943091.00"
"2025","Ciências da Saúde","4322236368.00"
"2025","Engenharias","4130995022.95"
"2025","Ciências Agrárias","3373134349.00"
"2025","Ciências Humanas","3129061133.00"
"2025","Ciências Sociais Aplicadas","1853468230.00"
