"ano","cidade","pais","total"
"2003","Rio de Janeiro","BRA - Brasil","44325897.70"
"2003","São Paulo","BRA - Brasil","42632180.16"
"2003","Porto Alegre","BRA - Brasil","19293054.73"
"2003","Campinas","BRA - Brasil","18066307.62"
"2003",NULL,"-","17867690.69"
"2003","Belo Horizonte","BRA - Brasil","13079597.97"
"2003","São Carlos","BRA - Brasil","10066344.31"
"2003","Florianópolis","BRA - Brasil","9364156.05"
"2003","Recife","BRA - Brasil","8901891.40"
"2003","Brasília","BRA - Brasil","8817663.03"
"2003","Viçosa","BRA - Brasil","6898639.95"
"2003","Ribeirão Preto","BRA - Brasil","4852921.76"
"2003","Fortaleza","BRA - Brasil","4301387.15"
"2003","Curitiba","BRA - Brasil","4298414.54"
"2003","Salvador","BRA - Brasil","3841510.92"
"2003","Piracicaba","BRA - Brasil","3827806.86"
"2003","Niterói","BRA - Brasil","3801208.03"
"2003","Lavras","BRA - Brasil","3474949.80"
"2003","João Pessoa","BRA - Brasil","2722004.06"
"2003","São José dos Campos","BRA - Brasil","2642625.86"
"2003","Santa Maria","BRA - Brasil","2234598.78"
"2003","Natal","BRA - Brasil","2111944.79"
"2003","Maringá","BRA - Brasil","1960309.09"
"2003","Belém","BRA - Brasil","1920032.13"
"2003","Manaus","BRA - Brasil","1661462.43"
"2003","Araraquara","BRA - Brasil","1604722.43"
"2003","Uberlândia","BRA - Brasil","1454765.97"
"2003","Pelotas","BRA - Brasil","1331905.11"
"2003","Seropédica","BRA - Brasil","1308578.72"
"2003","Jaboticabal","BRA - Brasil","1253883.14"
"2003","Londrina","BRA - Brasil","1114558.07"
"2003","Goiânia","BRA - Brasil","1032788.19"
"2003","Rio Claro","BRA - Brasil","1023062.31"
"2003","Vitória","BRA - Brasil","935313.12"
"2003","São Leopoldo","BRA - Brasil","731660.08"
"2003","Rio Grande","BRA - Brasil","713010.60"
"2003","Campina Grande","BRA - Brasil","674784.78"
"2003","Campos dos Goytacazes","BRA - Brasil","641422.03"
"2003","Botucatu","BRA - Brasil","543313.67"
"2003","Juiz de Fora","BRA - Brasil","536804.52"
"2003","Bauru","BRA - Brasil","508368.36"
"2003","Ouro Preto","BRA - Brasil","494718.01"
"2003","Petrópolis","BRA - Brasil","481791.41"
"2003","Maceió","BRA - Brasil","437633.70"
"2003","Cuiabá","BRA - Brasil","342061.77"
"2003","São José do Rio Preto","BRA - Brasil","307896.06"
"2003","São Bernardo do Campo","BRA - Brasil","285321.36"
"2003","Marília","BRA - Brasil","278059.94"
"2003","Assis","BRA - Brasil","271274.86"
"2003","Itaguaí","BRA - Brasil","267518.92"
"2003","São Luís","BRA - Brasil","260052.01"
"2003","São Cristóvão","BRA - Brasil","246324.98"
"2003","Lorena","BRA - Brasil","233845.08"
"2003","Itajubá","BRA - Brasil","230756.52"
"2003","Campo Grande","BRA - Brasil","223268.03"
"2003","Teresina","BRA - Brasil","174772.62"
"2003","Passo Fundo","BRA - Brasil","167696.83"
"2003","Feira de Santana","BRA - Brasil","157533.14"
"2003","Ilhéus","BRA - Brasil","129072.88"
"2003","Uberaba","BRA - Brasil","127257.71"
"2003","Araçatuba","BRA - Brasil","125947.60"
"2003","Santo Antônio de Goiás","BRA - Brasil","121454.41"
"2003","Presidente Prudente","BRA - Brasil","116202.44"
"2003","Cruz das Almas","BRA - Brasil","113847.74"
"2003","Guaratinguetá","BRA - Brasil","106855.96"
"2003","Pirassununga","BRA - Brasil","103079.60"
"2003","Pontal do Paraná","BRA - Brasil","96031.20"
"2003","Canoas","BRA - Brasil","92056.72"
"2003","Ilha Solteira","BRA - Brasil","85234.32"
"2003","São João del Rei","BRA - Brasil","70770.14"
"2003","Mogi das Cruzes","BRA - Brasil","69852.41"
"2003","Itajaí","BRA - Brasil","67733.74"
"2003","Itabuna","BRA - Brasil","67445.74"
"2003","Nova Friburgo","BRA - Brasil","67203.06"
"2003","Concórdia","BRA - Brasil","66678.65"
"2003","Areia","BRA - Brasil","64636.90"
"2003","Caxias do Sul","BRA - Brasil","61384.65"
"2003","Bananeiras","BRA - Brasil","60395.58"
"2003","Cascavel","BRA - Brasil","59513.34"
"2003","Mossoró","BRA - Brasil","57777.22"
"2003","Ponta Grossa","BRA - Brasil","56959.94"
"2003","Sete Lagoas","BRA - Brasil","44874.26"
"2003","Dourados","BRA - Brasil","42108.27"
"2003","Bragança","BRA - Brasil","41294.13"
"2003","Porto Velho","BRA - Brasil","40826.71"
"2003","Rio Branco","BRA - Brasil","36799.57"
"2003","Cordeirópolis","BRA - Brasil","36545.14"
"2003","Franca","BRA - Brasil","34162.64"
"2003","Tubarão","BRA - Brasil","32707.80"
"2003","Ijuí","BRA - Brasil","32603.49"
"2003","Jacarezinho","BRA - Brasil","28759.1"
"2003","Boa Vista","BRA - Brasil","28426.87"
"2003","São Raimundo Nonato","BRA - Brasil","27984.29"
"2003","Blumenau","BRA - Brasil","23895.90"
"2003","Colombo","BRA - Brasil","23046.48"
"2003","Petrolina","BRA - Brasil","22800.48"
"2003","Aracaju","BRA - Brasil","22588.14"
"2003","Montes Claros","BRA - Brasil","21508.92"
"2003","Serrana","BRA - Brasil","19813.67"
"2003","Santa Cruz do Sul","BRA - Brasil","19803.58"
"2003","São Sebastião","BRA - Brasil","18431.08"
"2003","Arraial do Cabo","BRA - Brasil","17987.35"
"2003","Sorocaba","BRA - Brasil","17170.4"
"2003","Bagé","BRA - Brasil","17170.4"
"2003","Bento Gonçalves","BRA - Brasil","17170.4"
"2003","Joaçaba","BRA - Brasil","16797.70"
"2003","Guarapuava","BRA - Brasil","16745.48"
"2003","Macapá","BRA - Brasil","16193.01"
"2003","Nova Odessa","BRA - Brasil","15779.44"
"2003","Três Lagoas","BRA - Brasil","15580.58"
"2003","Joinville","BRA - Brasil","14325.58"
"2003","Paulínia","BRA - Brasil","13311.30"
"2003","Bragança Paulista","BRA - Brasil","13070.60"
"2003","Ananindeua","BRA - Brasil","13064.14"
"2003","Camaçari","BRA - Brasil","11132.06"
"2003","Taubaté","BRA - Brasil","10887.95"
"2003","Barro Preto","BRA - Brasil","10744.16"
"2003","Caldas","BRA - Brasil","10649.04"
"2003","Criciúma","BRA - Brasil","10640.88"
"2003","São Gonçalo","BRA - Brasil","9888.48"
"2003","Vassouras","BRA - Brasil","9888.48"
"2003","Itatiba","BRA - Brasil","9888.48"
"2003","Alegre","BRA - Brasil","9888.48"
"2003","Holambra","BRA - Brasil","9545.16"
"2003","Lages","BRA - Brasil","9345.6"
"2003","Guarulhos","BRA - Brasil","8240.4"
"2003","Sobral","BRA - Brasil","8240.4"
"2003","Jundiaí","BRA - Brasil","8240.4"
"2003","Aquidauana","BRA - Brasil","8240.4"
"2003","Alfenas","BRA - Brasil","7742.85"
"2003","Palmas","BRA - Brasil","6722.24"
"2003","Knoxville","EUA - Estados Unidos","4437.1"
"2003","Coronel Fabriciano","BRA - Brasil","4120.2"
"2003","Duque de Caxias","BRA - Brasil","4120.2"
"2003","Santos","BRA - Brasil","4120.2"
"2003","Volta Redonda","BRA - Brasil","4120.2"
"2003","Bom Princípio","BRA - Brasil","3340.2"
"2003","Araras","BRA - Brasil","3042.6"
"2003","Vitória da Conquista","BRA - Brasil","2415.10"
"2003","Videira","BRA - Brasil","1207.55"
"2003","Anápolis","BRA - Brasil","1207.55"
"2003","Canterbury","ING - Inglaterra","0"
"2003","Montpellier","FRA - França","0"
"2003","Montreal","CAN - Canadá","0"
"2003","Ames","EUA - Estados Unidos","0"
"2003","Munich","RFA - Alemanha","0"
"2003","Munster","RFA - Alemanha","0"
"2003","Nanterre","FRA - França","0"
"2003","Nantes","FRA - França","0"
"2003","Nashville","EUA - Estados Unidos","0"
"2003","Canberra","AUS - Austrália","0"
"2003","New Brunswick","EUA - Estados Unidos","0"
"2003","New York","EUA - Estados Unidos","0"
"2003","Newcastle","AUS - Austrália","0"
"2003","Newcastle","ING - Inglaterra","0"
"2003","Amiens","FRA - França","0"
"2003","Norwich","ING - Inglaterra","0"
"2003","Notre Dame","EUA - Estados Unidos","0"
"2003","Ann Arbor","EUA - Estados Unidos","0"
"2003","Orono","EUA - Estados Unidos","0"
"2003","Cambridge","ING - Inglaterra","0"
"2003","Oxford","ING - Inglaterra","0"
"2003","Palaiseau","FRA - França","0"
"2003","Palmerston North","NZL - Nova Zelândia","0"
"2003","Paris","FRA - França","0"
"2003","Arlington","EUA - Estados Unidos","0"
"2003","Atlanta","EUA - Estados Unidos","0"
"2003","Pessac","FRA - França","0"
"2003","Buffalo","EUA - Estados Unidos","0"
"2003","Philadelphia","EUA - Estados Unidos","0"
"2003","Bristol","ING - Inglaterra","0"
"2003","Brighton","ING - Inglaterra","0"
"2003","Pisa","ITA - Itália","0"
"2003","Bremen","RFA - Alemanha","0"
"2003","Braunschweig","RFA - Alemanha","0"
"2003","Portland","EUA - Estados Unidos","0"
"2003","Porto","POR - Portugal","0"
