ano_referencia,sigla_uf_origem,total
2003,AL,183742.1
2003,AM,479818.95
2003,BA,2020544.86
2003,CE,1358986.75
2003,DF,3374138.52
2003,ES,372297.89
2003,GO,474518.73
2003,MA,96315.49
2003,MG,9980141.61
2003,MS,93602.64
2003,MT,60594.5
2003,PA,689710.15
2003,PB,1244999.97
2003,PE,3085997.39
2003,PI,45254.64
2003,PR,3342625.57
2003,RJ,21991785.55
2003,RN,919081.68
2003,RR,3921.18
2003,RS,8627083.36
2003,SC,2582631.0300000003
2003,SE,67045.24
2003,SP,40681946.27
2004,AC,64519.28
2004,AL,679884.88
2004,AM,914513.36
2004,BA,4170830.5100000002
2004,CE,3070545.97
2004,DF,6974265.6
2004,ES,858421.16
2004,GO,1084275.3800000001
2004,MA,287904.16
2004,MG,18598230.67
2004,MS,505795.36
2004,MT,137383.71
2004,PA,1604558.12
2004,PB,2323492.02
2004,PE,6552250.07
2004,PI,216963.94
2004,PR,6347576.33
2004,RJ,39100816.39
2004,RN,2191570.55
2004,RO,55830.16
2004,RR,19216.64
2004,RS,16760955.06
2004,SC,6281546.26
2004,SE,735038.29
2004,SP,70744344.18
2004,TO,3139.59
2005,AC,86859.48000000001
2005,AL,770065.88
2005,AM,1176980.74
2005,BA,4857324.86
2005,CE,4025047.39
2005,DF,9114233.290000001
2005,ES,1233011.21
2005,GO,1483727.6400000001
2005,MA,606005.39
2005,MG,21546925.36
2005,MS,706789.52
2005,MT,274253.63
2005,PA,2277251.15
2005,PB,2727993.23
2005,PE,7632007.49
2005,PI,324198.89
2005,PR,8072158.18
2005,RJ,45926713.49
2005,RN,2684618.17
2005,RO,121059.45999999999
2005,RR,17318.43
2005,RS,20615080.23
2005,SC,6882953.96
2005,SE,665142.26
2005,SP,81771558.93
2005,TO,188185.13
2006,AC,163367.03
2006,AL,2095979.34
2006,AM,2372607.89
2006,AP,100028.2
2006,BA,8144817.45
2006,CE,9421489.48
2006,DF,14782846.06
2006,ES,2326876.33
2006,GO,2286638.5
2006,MA,1334669.34
2006,MG,30565642.58
2006,MS,1398795.33
2006,MT,439780.55
2006,PA,5014714.89
2006,PB,4745355.78
2006,PE,14099397.82
2006,PI,638359.27
2006,PR,11797007.97
2006,RJ,56647983.21
2006,RN,6557069.2
2006,RO,385130.52
2006,RR,78497.28
2006,RS,28616994.84
2006,SC,10985408.21
2006,SE,1089326.03
2006,SP,105704071.86
2006,TO,285860.81
2007,AC,1600046.04
2007,AL,5707330.2299999995
2007,AM,11299839.81
2007,AP,3052597.63
2007,BA,26685585.34
2007,CE,23423388.09
2007,DF,26717978.35
2007,ES,3523098.9
2007,GO,7379685.57
2007,MA,4761383.35
2007,MG,57527966.94
2007,MS,2875049.03
2007,MT,1695116.29
2007,PA,16355494.9
2007,PB,16547111.65
2007,PE,34929201.43
2007,PI,2009562.53
2007,PR,24746990.05
2007,RJ,117261050.57000001
2007,RN,12954586.61
2007,RO,2964854.76
2007,RR,479555.62
2007,RS,60667289.46
2007,SC,18922783.29
2007,SE,2564653.04
2007,SP,173497405.9
2007,TO,2458748.11
2008,AC,1650253.39
2008,AL,5101753.76
2008,AM,17206560.3
2008,AP,2578281.61
2008,BA,23676826.73
2008,CE,24430054.98
2008,DF,52878224.08
2008,ES,5082139.72
2008,GO,8899238.75
