"ano","pais","total"
"0206","BRA - Brasil","6300"
"2003","BRA - Brasil","248344733.57"
"2003","-","17867690.69"
"2003","EUA - Estados Unidos","4437.1"
"2003","AUT - Austria","0"
"2003","CAN - Canadá","0"
"2003","CHL - Chile","0"
"2003","COL - Colômbia","0"
"2003","CRC - Costa Rica","0"
"2003","ESC - Escócia","0"
"2003","ESP - Espanha","0"
"2003","AUS - Austrália","0"
"2003","FRA - França","0"
"2003","HOL - Holanda","0"
"2003","ING - Inglaterra","0"
"2003","ITA - Itália","0"
"2003","NZL - Nova Zelândia","0"
"2003","POR - Portugal","0"
"2003","RFA - Alemanha","0"
"2003","SUE - Suécia","0"
"2004","BRA - Brasil","363505880.33"
"2004","-","35668707.93"
"2004","EUA - Estados Unidos","8896618.83"
"2004","ING - Inglaterra","5465540.76"
"2004","FRA - França","3087993.14"
"2004","CAN - Canadá","2358773.02"
"2004","RFA - Alemanha","2308506.12"
"2004","ESP - Espanha","1348388.10"
"2004","ITA - Itália","829334.09"
"2004","POR - Portugal","605024.72"
"2004","HOL - Holanda","515816.12"
"2004","AUS - Austrália","504368.21"
"2004","BEL - Bélgica","221129.34"
"2004","SUE - Suécia","219493.44"
"2004","ESC - Escócia","166622.19"
"2004","CHL - Chile","146040.58"
"2004","AUT - Austria","117577.17"
"2004","NZL - Nova Zelândia","82040.88"
"2004","SUI - Suiça","64117.08"
"2004","GAL - Gales","55067.38"
"2004","MEX - México","47787.91"
"2004","CRC - Costa Rica","47580.6"
"2004","DIN - Dinamarca","36864.11"
"2004","JAP - Japão","18496.85"
"2004","COL - Colômbia","12859.77"
"2004","POL - Polônia","8319.79"
"2004","CRS - Coréia do Sul","7431.00"
"2005","BRA - Brasil","415892181.80"
"2005","-","21165936.81"
"2005","EUA - Estados Unidos","7225026.53"
"2005","ING - Inglaterra","4061998.73"
"2005","FRA - França","3349231.08"
"2005","RFA - Alemanha","2844048.03"
"2005","ESP - Espanha","1766500.33"
"2005","CAN - Canadá","1531853.62"
"2005","ITA - Itália","799304.84"
"2005","AUS - Austrália","744978.70"
"2005","POR - Portugal","640033.20"
"2005","HOL - Holanda","487339.38"
"2005","BEL - Bélgica","219241.52"
"2005","CHL - Chile","208466.63"
"2005","SUI - Suiça","160648.19"
"2005","AUT - Austria","146793.46"
"2005","DIN - Dinamarca","114185.71"
"2005","SUE - Suécia","109617.76"
"2005","NZL - Nova Zelândia","87847.57"
"2005","ESC - Escócia","74525.63"
"2005","IRN - Irlanda do Norte","73346.18"
"2005","MEX - México","71201.78"
"2005","CRC - Costa Rica","49535.24"
"2005","CUB - Cuba","38222.77"
"2005","IND - Índia","34163.59"
"2005","POL - Polônia","32879.64"
"2005","GAL - Gales","30182.97"
"2005","ARG - Argentina","27756.73"
"2005","JAP - Japão","23103.43"
"2006","BRA - Brasil","544223808.69"
"2006","EUA - Estados Unidos","6547015.58"
"2006","-","5621372.18"
"2006","ING - Inglaterra","3825883.83"
"2006","FRA - França","2650963.89"
"2006","RFA - Alemanha","2428906.26"
"2006","CAN - Canadá","1975913.45"
"2006","ESP - Espanha","1305915.14"
"2006","POR - Portugal","1002833.84"
"2006","ITA - Itália","768652.86"
"2006","AUS - Austrália","638856.63"
"2006","HOL - Holanda","358533.30"
"2006","BEL - Bélgica","273187.04"
"2006","SUI - Suiça","236809.30"
"2006","NZL - Nova Zelândia","164484.96"
"2006","AUT - Austria","157973.74"
"2006","SUE - Suécia","155960.11"
"2006","CHL - Chile","126831.86"
"2006","DIN - Dinamarca","93603.03"
"2006","MEX - México","74229.83"
"2006","ESC - Escócia","60558.72"
"2006","FIN - Finlândia","50330.08"
"2006","POL - Polônia","33986.18"
"2006","CHN - China","31086.96"
"2006","CRC - Costa Rica","29642.73"
"2006","AFS - África do Sul","17997.05"
"2006","JAP - Japão","15649.66"
"2006","HUN - Hungria","13760.8"
"2006","ARG - Argentina","9226"
"2007","BRA - Brasil","908649406.54"
"2007","EUA - Estados Unidos","8005538.62"
"2007","-","4713234.32"
"2007","ING - Inglaterra","4470077.87"
"2007","FRA - França","4007883.40"
"2007","CAN - Canadá","2374467.53"
"2007","RFA - Alemanha","2290112.53"
"2007","ESP - Espanha","2038088.58"
"2007","POR - Portugal","1200952.58"
