"ano","pais","total"
"0206","BRA - Brasil","6300"
"2003","AUS - Austrália",NULL
"2003","AUT - Austria",NULL
"2003","RFA - Alemanha",NULL
"2003","POR - Portugal",NULL
"2003","SUE - Suécia",NULL
"2003","CAN - Canadá",NULL
"2003","CHL - Chile",NULL
"2003","COL - Colômbia",NULL
"2003","CRC - Costa Rica",NULL
"2003","ESC - Escócia",NULL
"2003","ESP - Espanha",NULL
"2003","FRA - França",NULL
"2003","HOL - Holanda",NULL
"2003","ING - Inglaterra",NULL
"2003","ITA - Itália",NULL
"2003","NZL - Nova Zelândia",NULL
"2003","BRA - Brasil","18004775468"
"2003","-","489854399"
"2003","EUA - Estados Unidos","44371"
"2004","BRA - Brasil","21557648131"
"2004","-","3074316138"
"2004","EUA - Estados Unidos","817905981"
"2004","ING - Inglaterra","411415899"
"2004","FRA - França","285578522"
"2004","CAN - Canadá","210627451"
"2004","RFA - Alemanha","204034356"
"2004","ESP - Espanha","105025230"
"2004","ITA - Itália","75269558"
"2004","POR - Portugal","60502472"
"2004","HOL - Holanda","51581612"
"2004","AUS - Austrália","46193690"
"2004","BEL - Bélgica","22112934"
"2004","SUE - Suécia","19872225"
"2004","ESC - Escócia","16662219"
"2004","AUT - Austria","11757717"
"2004","NZL - Nova Zelândia","8204088"
"2004","SUI - Suiça","6411708"
"2004","GAL - Gales","5506738"
"2004","MEX - México","4778791"
"2004","DIN - Dinamarca","3686411"
"2004","CHL - Chile","3484378"
"2004","JAP - Japão","1849685"
"2004","COL - Colômbia","1285977"
"2004","POL - Polônia","831979"
"2004","CRS - Coréia do Sul","743100"
"2004","CRC - Costa Rica","475806"
"2005","BRA - Brasil","25111820819"
"2005","-","1685546043"
"2005","EUA - Estados Unidos","629016854"
"2005","ING - Inglaterra","379295840"
"2005","FRA - França","308400423"
"2005","RFA - Alemanha","255934635"
"2005","ESP - Espanha","168450772"
"2005","CAN - Canadá","144427966"
"2005","AUS - Austrália","65547928"
"2005","ITA - Itália","65491424"
"2005","POR - Portugal","53065926"
"2005","HOL - Holanda","48733938"
"2005","CHL - Chile","20846663"
"2005","BEL - Bélgica","19839230"
"2005","SUI - Suiça","16064819"
"2005","AUT - Austria","12989380"
"2005","SUE - Suécia","10961776"
"2005","IRN - Irlanda do Norte","7334618"
"2005","MEX - México","7120178"
"2005","ESC - Escócia","6662246"
"2005","DIN - Dinamarca","5057983"
"2005","CRC - Costa Rica","4953524"
"2005","NZL - Nova Zelândia","3930886"
"2005","CUB - Cuba","3822277"
"2005","IND - Índia","3416359"
"2005","POL - Polônia","3287964"
"2005","GAL - Gales","3018297"
"2005","ARG - Argentina","2775673"
"2005","JAP - Japão","2310343"
"2006","BRA - Brasil","20149592559"
"2006","EUA - Estados Unidos","535182251"
"2006","ING - Inglaterra","338924451"
"2006","FRA - França","232266288"
"2006","RFA - Alemanha","221751489"
"2006","CAN - Canadá","176813828"
"2006","-","167265440"
"2006","ESP - Espanha","119998037"
"2006","POR - Portugal","94657556"
"2006","ITA - Itália","65721891"
"2006","AUS - Austrália","49866354"
"2006","HOL - Holanda","35853330"
"2006","BEL - Bélgica","27318704"
"2006","SUI - Suiça","18742288"
"2006","AUT - Austria","15797374"
"2006","SUE - Suécia","15596011"
"2006","NZL - Nova Zelândia","13644321"
"2006","DIN - Dinamarca","9360303"
"2006","CHL - Chile","8031158"
"2006","MEX - México","7422983"
"2006","FIN - Finlândia","5033008"
"2006","ESC - Escócia","4966872"
"2006","POL - Polônia","3398618"
"2006","CHN - China","3108696"
"2006","CRC - Costa Rica","2964273"
"2006","AFS - África do Sul","1799705"
"2006","JAP - Japão","1564966"
"2006","HUN - Hungria","137608"
"2006","ARG - Argentina","9226"
"2007","BRA - Brasil","16879005847"
"2007","EUA - Estados Unidos","684229114"
"2007","ING - Inglaterra","407838203"
"2007","FRA - França","351265282"
"2007","CAN - Canadá","215380904"
"2007","RFA - Alemanha","205930951"
"2007","ESP - Espanha","167724690"
"2007","POR - Portugal","109914971"
"2007","ITA - Itália","98723931"
"2007","-","82015040"
"2007","AUS - Austrália","81633952"
"2007","SUI - Suiça","42713723"
"2007","HOL - Holanda","37460681"
"2007","BEL - Bélgica","33894638"
"2007","ESC - Escócia","13235582"
"2007","NZL - Nova Zelândia","11243854"
"2007","GAL - Gales","10660619"
"2007","IRN - Irlanda do Norte","9985880"
"2007","CHL - Chile","9701933"
"2007","MEX - México","8189485"
"2007","SUE - Suécia","7397814"
"2007","AUT - Austria","5986462"
"2007","ARL - Argélia","4485451"
"2007","ARG - Argentina","3262340"
"2007","AFS - África do Sul","2600928"
"2007","DIN - Dinamarca","2502145"
"2007","FIN - Finlândia","1978684"
"2007","CRS - Coréia do Sul","1738155"
"2007","ISR - Israel","1546344"
"2007","HUN - Hungria","1464578"
"2007","RTC - República Tcheca","1342636"
"2007","CHN - China","1341018"
"2007","JAP - Japão","1035772"
"2008","BRA - Brasil","23939531698"
"2008","EUA - Estados Unidos","772320629"
"2008","FRA - França","401142089"
"2008","ING - Inglaterra","324383653"
"2008","RFA - Alemanha","219244914"
"2008","CAN - Canadá","201315466"
"2008","ESP - Espanha","196861666"
"2008","ITA - Itália","156156796"
"2008","POR - Portugal","151465277"
"2008","HOL - Holanda","85058473"
"2008","AUS - Austrália","80920961"
"2008","SUI - Suiça","80811568"
"2008","BEL - Bélgica","40202494"
"2008","ESC - Escócia","22029172"
"2008","-","15730379"
"2008","DIN - Dinamarca","11674127"
"2008","CHL - Chile","9803373"
"2008","SUE - Suécia","9447352"
"2008","IRL - Irlanda","6610802"
"2008","MEX - México","6070043"
"2008","GAL - Gales","5994986"
"2008","ARG - Argentina","5172034"
"2008","RTC - República Tcheca","5022630"
"2008","AUT - Austria","4368419"
"2008","GRE - Grécia","3676973"
"2008","NZL - Nova Zelândia","3419101"
"2008","IND - Índia","3321697"
"2008","NOR - Noruega","3201396"
"2008","PAN - Panamá","2886126"
"2008","JAP - Japão","2791454"
"2008","MAL - Malásia","1681061"
"2008","RSS - Rússia","1029928"
"2008","HUN - Hungria","866303"
"2008","BRN - Brunei","445566"
"2008","ARL - Argélia","33942"
"2008","IRN - Irlanda do Norte","22165"
"2008","CHN - China","16500"
"2008","BLZ - Belize","9250"
"2008","CIN - Cingapura","7000"
"2008","COL - Colômbia","5000"
"2008","CRC - Costa Rica","5000"
"2009","BRA - Brasil","26770039078"
"2009","EUA - Estados Unidos","897640940"
"2009","FRA - França","365938021"
"2009","ING - Inglaterra","322500123"
"2009","RFA - Alemanha","267154406"
"2009","ESP - Espanha","225988962"
"2009","CAN - Canadá","210923437"
"2009","POR - Portugal","160456362"
"2009","ITA - Itália","95778830"
"2009","HOL - Holanda","93349446"
"2009","-","66647915"
"2009","SUI - Suiça","64293616"
"2009","AUS - Austrália","60384252"
"2009","BEL - Bélgica","42967822"
"2009","ESC - Escócia","27066247"
"2009","NOR - Noruega","18622267"
"2009","DIN - Dinamarca","15474431"
"2009","GAL - Gales","14269842"
"2009","MEX - México","7869463"
"2009","URU - Uruguai","7845400"
"2009","SUE - Suécia","7507233"
"2009","ARG - Argentina","6830269"
"2009","IRL - Irlanda","5218873"
"2009","SIR - Síria","4996291"
"2009","GRE - Grécia","3844850"
"2009","PER - Peru","3130318"
"2009","CHL - Chile","2504267"
"2009","FIN - Finlândia","2480119"
"2009","RTC - República Tcheca","2065076"
"2009","NZL - Nova Zelândia","2006642"
"2009","AFS - África do Sul","1944083"
"2009","JAP - Japão","1771154"
"2009","MAL - Malásia","1405662"
"2009","AUT - Austria","1042898"
"2009","IND - Índia","918372"
"2009","PAN - Panamá","369643"
"2009","CHN - China","9800"
"2009","LUX - Luxemburgo","5000"
"2009","HUN - Hungria","4000"
"2009","CRC - Costa Rica","3300"
"2009","COL - Colômbia","3000"
"2010","BRA - Brasil","33017419533"
"2010","EUA - Estados Unidos","645021086"
"2010","FRA - França","289248081"
"2010","RFA - Alemanha","278949975"
"2010","ING - Inglaterra","247543058"
"2010","ESP - Espanha","154928498"
"2010","CAN - Canadá","136800782"
"2010","POR - Portugal","118744737"
"2010","ITA - Itália","94533287"
"2010","AUS - Austrália","82508483"
"2010","-","66131251"
"2010","HOL - Holanda","44811812"
"2010","SUI - Suiça","43810432"
"2010","BEL - Bélgica","39345586"
"2010","ESC - Escócia","12798127"
"2010","CHL - Chile","9031716"
"2010","NZL - Nova Zelândia","8925819"
"2010","DIN - Dinamarca","8759640"
"2010","AUT - Austria","8583277"
"2010","MEX - México","7360980"
"2010","NOR - Noruega","4963794"
"2010","RTC - República Tcheca","4644165"
"2010","ARG - Argentina","4405082"
"2010","SUE - Suécia","3438108"
"2010","JAP - Japão","3389308"
"2010","IND - Índia","3306665"
"2010","IRL - Irlanda","3271972"
"2010","POL - Polônia","2444327"
"2010","FIN - Finlândia","2166855"
"2010","PER - Peru","1983194"
"2010","AFS - África do Sul","1663192"
"2010","SIR - Síria","1111957"
"2010","URU - Uruguai","93714"
"2010","GAL - Gales","22550"
"2010","CHN - China","9000"
"2010","FOR - Formosa","6500"
"2010","MAR - Marrocos","5000"
"2010","CUB - Cuba","5000"
"2010","TUR - Turquia","5000"
"2010","COL - Colômbia","4900"
"2010","RSS - Rússia","3800"
"2011","BRA - Brasil","23813446632"
"2011","EUA - Estados Unidos","745517555"
"2011","RFA - Alemanha","307025449"
"2011","FRA - França","303323622"
"2011","ING - Inglaterra","205629140"
"2011","ESP - Espanha","195308821"
"2011","POR - Portugal","150462755"
"2011","CAN - Canadá","141931954"
"2011","ITA - Itália","73952642"
"2011","AUS - Austrália","61190558"
"2011","BEL - Bélgica","45151827"
"2011","HOL - Holanda","44643085"
"2011","SUI - Suiça","44547156"
"2011","-","39828321"
"2011","ESC - Escócia","34917970"
"2011","DIN - Dinamarca","20114433"
"2011","NOR - Noruega","17695576"
"2011","CHL - Chile","12208509"
"2011","SUE - Suécia","11550136"
"2011","JAP - Japão","10111428"
"2011","ARG - Argentina","6445424"
"2011","POL - Polônia","5967667"
"2011","AUT - Austria","5689625"
"2011","CRO - Croácia","4973781"
"2011","FIN - Finlândia","4940391"
"2011","NZL - Nova Zelândia","4862952"
"2011","RTC - República Tcheca","4786987"
"2011","AFS - África do Sul","3836864"
"2011","ANG - Angola","3304434"
"2011","GAL - Gales","3103644"
"2011","ISR - Israel","2611992"
"2011","MEX - México","2575896"
"2011","HUN - Hungria","2412237"
"2011","COL - Colômbia","1796943"
"2011","IND - Índia","1628889"
"2011","EQU - Equador","872604"
"2011","CIN - Cingapura","452291"
"2011","CHN - China","28000"
"2011","TUR - Turquia","13760"
"2011","PER - Peru","8200"
"2011","CRC - Costa Rica","8000"
"2011","RSS - Rússia","5000"
"2011","IRL - Irlanda","5000"
"2011","EGI - Egito","4500"
"2011","UCR - Ucrânia","4500"
"2011","CBV - Cabo Verde","3000"
"2012","BRA - Brasil","20590548667"
"2012","CAN - Canadá","3836799400"
"2012","POR - Portugal","3626544204"
"2012","ESP - Espanha","3470437886"
"2012","EUA - Estados Unidos","2148927259"
"2012","AUS - Austrália","2067705158"
"2012","RFA - Alemanha","939926187"
"2012","ING - Inglaterra","892383296"
