grande_area,modalidade,linha_de_fomento,total
Ciências Agrárias,ACT - Apoio ao Desenvolvimento Científico e Tecnológico,Apoio a Projetos de Pesquisas,9140660.94
Ciências Agrárias,ADC - Apoio à Difusão do Conhecimento,APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA,137154.55
Ciências Agrárias,ADC - Apoio à Difusão do Conhecimento,APOIO A PROJETOS DE PESQUISA,632395.183
Ciências Agrárias,ADC - Apoio à Difusão do Conhecimento,Bolsas de Iniciação Científica,217591.52
Ciências Agrárias,AED - Apoio a Publicações Científicas,APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA,132330.0
Ciências Agrárias,AED - Auxílio a Editoração e Publicação,Apoio a Periódicos Científicos,7871705.0
Ciências Agrárias,AI - Auxílio a Pesquisa,Apoio a Projetos de Pesquisas,266707633.36
Ciências Agrárias,APQ - Auxílio a Pesquisa,APOIO A PROJETOS DE PESQUISA,1757148333.24871
Ciências Agrárias,APQ - Auxílio a Pesquisa,Apoio a Projetos de Pesquisas,521111550.32
Ciências Agrárias,APV - Pesquisador Visitante,Apoio a Pesquisador Visitante,616721.54
Ciências Agrárias,ARC - Promoção de Eventos Científicos,APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA,35388606.838
Ciências Agrárias,ARC - Promoção de Eventos Científicos,Apoio a Participação/Realização de Eventos,30909899.04
Ciências Agrárias,AT - Apoio Técnico a Pesquisa,Bolsas de Apoio Técnico,19834412.43
Ciências Agrárias,AT - Apoio Técnico à Pesquisa,APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA,2310.0
Ciências Agrárias,AT - Apoio Técnico à Pesquisa,APOIO A PROJETOS DE PESQUISA,963112.52
Ciências Agrárias,ATP - Apoio Técnico em Extensão no País,APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA,50272.96
Ciências Agrárias,ATP - Apoio Técnico em Extensão no País,APOIO A PROJETOS DE PESQUISA,527700.84
Ciências Agrárias,ATP - Apoio Técnico em Extensão no País,Bolsas de Apoio Técnico,19878113.1
Ciências Agrárias,AVG - Participação em Eventos Cientificos,Apoio a Participação/Realização de Eventos,3386893.9
Ciências Agrárias,BCB -,APOIO A PROJETOS DE PESQUISA,82422667.0
Ciências Agrárias,BEP - Bolsa Treinamento no Pais,Bolsa de Cota (Curta Dur.),46273.03
Ciências Agrárias,BEV - Bolsa Especialista Visitante,Bolsa de Cota (Curta Dur.),300321.58999999997
Ciências Agrárias,BJT - Atração de Jovens Talentos,Bolsas de Pesquisador/Especialista Visitante,5046519.97
