"grande_area","modalidade","linha_de_fomento","valor"
"Engenharias","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","109518930006"
"Ciências Biológicas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","41902454548"
"Ciências Biológicas","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","37116070277"
"Ciências da Saúde","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","31700525509"
"Ciências da Saúde","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","30506912160"
"Ciências Exatas e da Terra","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","27898965791"
"Ciências da Saúde","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","26793951952"
"Ciências Exatas e da Terra","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","26288379623"
"Ciências Exatas e da Terra","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","25855606312"
"Ciências Sociais Aplicadas","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","25115222133"
"Engenharias","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","24130701551"
"Engenharias","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","23452842446"
"Ciências Agrárias","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","23146163270"
"Ciências Biológicas","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","20048213839"
"Ciências Exatas e da Terra","GD - Doutorado","Bolsas de Doutorado","19347935718"
"Ciências Exatas e da Terra","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","19088857562"
"Ciências Biológicas","GD - Doutorado","Bolsas de Doutorado","18101711891"
"Ciências Biológicas","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","17684134505"
"Ciências Agrárias","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","17567287384"
"Engenharias","GD - Doutorado","Bolsas de Doutorado","16782581110"
"Ciências Exatas e da Terra","GDE - Doutorado no Exterior","Bolsas de Doutorado","16697272711"
"Ciências Exatas e da Terra","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","16482352000"
"Ciências Biológicas","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","15551275705"
"Ciências Exatas e da Terra","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","14116881119"
"Engenharias","GDE - Doutorado no Exterior","Bolsas de Doutorado","13904197540"
"Ciências Agrárias","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","13410458730"
"Ciências Agrárias","GD - Doutorado","Bolsas de Doutorado","13220631040"
"Ciências Biológicas","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","12843552856"
"Ciências Exatas e da Terra","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","12493147931"
"Engenharias","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","12105073432"
"Ciências Humanas","GD - Doutorado","Bolsas de Doutorado","12065078038"
"Ciências Agrárias","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","11638771356"
"Ciências Biológicas","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","11229771298"
"Ciências Humanas","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","11110665026"
"Engenharias","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","10665978776"
"Ciências Biológicas","GDE - Doutorado no Exterior","Bolsas de Doutorado","10648676044"
"Ciências Humanas","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","9982675514"
"Engenharias","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","9951502793"
"Ciências da Saúde","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","9736943175"
"Ciências Agrárias","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9705662000"
"Ciências Humanas","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9692703900"
"Ciências Agrárias","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","9341757695"
"Ciências da Saúde","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9277150000"
"Ciências Exatas e da Terra","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","9230042630"
"Engenharias","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","9149281262"
"Ciências da Saúde","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","8843966521"
"Engenharias","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","8735236297"
"Ciências da Saúde","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","8340974633"
"Ciências Biológicas","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","7762447008"
"Engenharias","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","7761631373"
"Outra","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","7466659554"
"Ciências Exatas e da Terra","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","7464770000"
"Ciências Biológicas","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","7402793213"
"Outra","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","7219263506"
"Ciências Humanas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","7187035927"
