"ano","grande_area","total"
2006,"Ciências Biológicas","6300"
2003,"Ciências Agrárias","2392589377"
2003,"Ciências Biológicas","3356934930"
2003,"Ciências da Saúde","1366438545"
2003,"Ciências Exatas e da Terra","3872769033"
2003,"Ciências Humanas","2544802293"
2003,"Ciências Sociais Aplicadas","963193004"
2003,"Engenharias","3055615960"
2003,"Indefinido","11254029"
2003,"Lingüística, Letras e Artes","812906792"
2003,"Outra","118170275"
2004,"Ciências Agrárias","3519423839"
2004,"Ciências Biológicas","4997329889"
2004,"Ciências da Saúde","2029996176"
2004,"Ciências Exatas e da Terra","5908624009"
2004,"Ciências Humanas","3341661450"
2004,"Ciências Sociais Aplicadas","1582323111"
2004,"Engenharias","4344878689"
2004,"Indefinido","20636554"
2004,"Lingüística, Letras e Artes","1109705095"
2004,"Outra","153135682"
2005,"Ciências Agrárias","3717679518"
2005,"Ciências Biológicas","5524672767"
2005,"Ciências da Saúde","2198578138"
2005,"Ciências Exatas e da Terra","6263158954"
2005,"Ciências Humanas","3375867981"
2005,"Ciências Sociais Aplicadas","1627056621"
2005,"Engenharias","4881860501"
2005,"Indefinido","87446274"
2005,"Lingüística, Letras e Artes","1129987962"
2005,"Outra","243816068"
2006,"Ciências Agrárias","2840779585"
2006,"Ciências Biológicas","4173759912"
2006,"Ciências da Saúde","1552876837"
2006,"Ciências Exatas e da Terra","4858080620"
2006,"Ciências Humanas","2389231513"
2006,"Ciências Sociais Aplicadas","1090060026"
2006,"Engenharias","4248778889"
2006,"Indefinido","34243211"
2006,"Lingüística, Letras e Artes","729476004"
2006,"Outra","409502991"
2007,"Ciências Agrárias","2573369656"
2007,"Ciências Biológicas","3773458558"
2007,"Ciências da Saúde","2606563417"
2007,"Ciências Exatas e da Terra","3087587595"
2007,"Ciências Humanas","898449386"
2007,"Ciências Sociais Aplicadas","1042988706"
2007,"Engenharias","4374028612"
2007,"Indefinido","25233289"
2007,"Lingüística, Letras e Artes","258914100"
2007,"Outra","856838288"
2008,"Ciências Agrárias","3966121551"
2008,"Ciências Biológicas","6945494223"
2008,"Ciências da Saúde","3431843963"
2008,"Ciências Exatas e da Terra","5189306005"
2008,"Ciências Humanas","1236633537"
2008,"Ciências Sociais Aplicadas","801435478"
2008,"Engenharias","3872361254"
2008,"Indefinido","51457882"
2008,"Lingüística, Letras e Artes","276636578"
2008,"Outra","1003466992"
2009,"Ciências Agrárias","7566488490"
2009,"Ciências Biológicas","5491729171"
2009,"Ciências da Saúde","3091223906"
