"ano","subarea","total"
2006,"Botânica Aplicada","6300"
2003,"Acústica","1573572"
2003,"Adequação Ambiental","6478509"
2003,"Administração","51558780"
2003,"Administração da Produção","3510030"
2003,"Administração de Empresas","36846654"
2003,"Administração de Recursos Humanos","7427588"
2003,"Administração de Setores Específicos","29604966"
2003,"Administração de Sistemas Educacionais","1614774"
2003,"Administração de Unidades Educativas","1706825"
2003,"Administração Educacional","6402366"
2003,"Administração Financeira","331750"
2003,"Administração Florestal","1136471"
2003,"Administração Hospitalar","507168"
2003,"Administração Pública","38400808"
2003,"Aerodinâmica","7911342"
2003,"Aerodinâmica de Aeronaves Espaciais","261727"
2003,"Aeronomia","9948526"
2003,"Aglomerados de Galáxias","1573572"
2003,"Agrometeorologia","41389730"
2003,"Agronomia","113667157"
2003,"Água","1573572"
2003,"Águas Subterráneas e Poços Profundos","1008836"
2003,"Álcool","88742"
2003,"Alergologia e Imunologia Clínica","3519503"
2003,"Álgebra","50915182"
2003,"Álgebra Comutativa","2977840"
2003,"Alimentos","4161477"
2003,"Análise","49488462"
2003,"Análise de Algoritmos e Complexidade de Computação","6380483"
2003,"Análise de Custos","144904"
2003,"Análise de Tensões","2090159"
2003,"Análise de Traços e Química Ambiental","17227792"
2003,"Análise do Processo Decisório","4021962"
2003,"Análise Estocástica","44371"
2003,"Análise Funcional","3516967"
2003,"Análise Funcional Não-Linear","1220485"
2003,"Análise Institucional","1911683"
2003,"Análise Numérica","2045883"
2003,"Análise Nutricional de População","28649850"
2003,"Análise Regional","443712"
2003,"Anatomia","3242109"
2003,"Anatomia Animal","7238942"
2003,"Anatomia e Identificação de Produtos Florestais","88742"
2003,"Anatomia Humana","2575072"
2003,"Anatomia Patologia Animal","3325585"
2003,"Anatomia Patológica e Patologia Clínica","71839829"
2003,"Anatomia Vegetal","12734382"
2003,"Anestesiologia","1838272"
2003,"Anestesiologia Animal","1617030"
2003,"Antropologia","108599877"
2003,"Antropologia das Populações Afro-Brasileiras","15566349"
2003,"Antropologia Jurídica","1573572"
2003,"Antropologia Rural","4100051"
2003,"Antropologia Urbana","59246320"
2003,"Aplicações de Radioisótopos","40287682"
2003,"Aplicações Industriais de Radioisótopos","1783069"
2003,"Aprendizagem e Desempenho Acadêmicos","1086780"
2003,"Aproveitamento da Energia","5693721"
2003,"Aproveitamento de Energia","1246895"
2003,"Aproveitamento de Subprodutos","1928733"
2003,"Aqüicultura","45045659"
2003,"Áreas Clássicas de Fenomenologia e suas Aplicações","8401599"
2003,"Armazenamento de Alimentos","532681"
2003,"Armazenamento de Produtos Agrícolas","265659"
2003,"Arqueologia","16599698"
2003,"Arqueologia Histórica","23824241"
2003,"Arqueologia Pré-Histórica","14118510"
2003,"Arquitetura de Sistemas de Computação","5779140"
2003,"Arquitetura e Urbanismo","14986107"
2003,"Artes","15129020"
2003,"Artes Plásticas","8961457"
2003,"Aspectos Econômicos do Planejamento Urbano e Regional",NULL
2003,"Aspectos Físico-Ambientais do Planejamento Urbano e Regional","3587412"
2003,"Aspectos Sociais do Planejamento Urbano e Regional","2305863"
2003,"Astrofísica do Meio Interestelar","3413692"
2003,"Astrofísica do Sistema Solar","3410531"
2003,"Astrofísica Estelar","29572092"
2003,"Astrofísica Extragalactica","30763116"
2003,"Astronomia","5703115"
2003,"Astronomia de Posição e Mecânica Celeste","5214449"
2003,"Astronomia Dinâmica","82404"
2003,"Astronomia Espacial",NULL
2003,"Astronomia Fundamental","44371"
2003,"Astronomia Ótica","82404"
2003,"Atitude e Ideologias Políticas","2323423"
2003,"Automação Eletrônica de Processos Elétricos e Industriais","10503917"
2003,"Avaliação da Aprendizagem","2683175"
2003,"Avaliação de Alimentos para Animais","11913719"
2003,"Avaliação de Estoques Pesqueiros Marinhos","206129"
2003,"Avaliação de Projetos","1744718"
2003,"Avaliação de Sistemas, Instituições, Planos e Programas Educacionais","1397812"
2003,"Avaliação e analises toxicológicas","4030405"
2003,"Avaliação e Controle de Qualidade de Alimentos","4613890"
2003,"Avaliação, Produção e Conservação de Forragens","221816"
2003,"Bacteriologia","3490798"
2003,"Balanço de Pagamentos; Finanças Internacionais","2106159"
2003,"Balanços Globais de Matéria e Energia","858312"
2003,"Banco de Dados","12422350"
2003,"Biblioteconomia","4335609"
2003,"Bioengenharia","16892411"
2003,"Biofísica","27747163"
2003,"Biofísica Celular","24897837"
2003,"Biofísica de Processos e Sistemas","10426361"
2003,"Biofísica Molecular","54933225"
2003,"Biologia e Fisiologia dos Microorganismos","51955284"
2003,"Biologia Geral","41754727"
2003,"Biologia Molecular","171560460"
2003,"Biomateriais e Materiais Biocompatíveis","5407842"
2003,"Biomedicina","676222"
2003,"Bioquímica","125971476"
2003,"Bioquímica da Nutrição","29529942"
2003,"Bioquímica dos Microorganismos","40747886"
2003,"Botânica","37841559"
2003,"Botânica Aplicada","33749955"
2003,"Bromatologia","2412280"
2003,"Campos de Coordenação","1614774"
2003,"Cancerologia","3123009"
2003,"Capacidade de Vias de Transporte","15142"
2003,"Capital Humano","88742"
2003,"Caracterização do Minério","367646"
2003,"Carcinocultura","161957"
2003,"Cardiologia","26479353"
2003,"Cartografia Básica","1815428"
2003,"Cartografia Geológica","5250"
2003,"Cerâmica","1911683"
2003,"Cerâmicos","15990314"
2003,"Ciência da Computação","119441809"
2003,"Ciência da Informação","20115754"
2003,"Ciência de Alimentos","94344561"
2003,"Ciência do Solo","175984784"
2003,"Ciência e Tecnologia de Alimentos","68170913"
2003,"Ciência Política","24754832"
2003,"Ciências","7935559"
2003,"Ciências Agrárias","2988989"
2003,"Ciências Biológicas","2012277"
2003,"Ciências Contábeis","5278631"
2003,"Ciências da Saúde","4214413"
2003,"Ciências Exatas e da Terra","2219633"
2003,"Ciências Humanas","1255852"
2003,"Ciências Sociais","46244516"
2003,"Ciências Sociais Aplicadas","748681"
2003,"Cinema","1252688"
2003,"Cinética Química e Catálise","22028717"
2003,"Circuitos Elétricos, Magnéticos e Eletrônicos","35123391"
2003,"Circuitos Eletrônicos","3380008"
2003,"Circuitos Lineares e Não-Lineares","961746"
2003,"Circuitos Magnéticos , Magnetismos e Eletromagnetismos","2806730"
2003,"Cirurgia","16834423"
2003,"Cirurgia Buco-Maxilo-Facial","9882567"
2003,"Cirurgia Cardiovascular","484944"
2003,"Cirurgia Experimental","1582134"
2003,"Cirurgia Gastroenterologia","272950"
2003,"Cirurgia Oftalmológica","113654"
2003,"Cirurgia Ortopédica","44371"
2003,"Cirurgia Otorrinolaringológica","21127187"
2003,"Cirurgia Pediátrica","1769561"
2003,"Cirurgia Plástica e Restauradora","3807555"
2003,"Cirurgia Traumatológica",NULL
2003,"Cirurgia Urológica","1242874"
2003,"Citologia e Biologia Celular","66035189"
2003,"Citologia Vegetal","328727"
2003,"Classes Sociais e Grupos de Interesse","2605755"
2003,"Climatologia","4971622"
2003,"Clínica Cirúrgica Animal","2113619"
2003,"Clínica e Cirurgia Animal","41046730"
2003,"Clínica Médica","183586082"
2003,"Clínica Odontológica","50702635"
2003,"Clínica Veterinária","4442963"
2003,"Combustão e Escoamento com Reações Químicas","2502198"
2003,"Combustível Nuclear","354968"
2003,"Componentes da Dinâmica Demográfica","2444383"
2003,"Comportamento Animal","38512522"
2003,"Comportamento Político","35947993"
2003,"Composição Musical","3134686"
2003,"Compostos Organo-Metálicos","165126"
2003,"Computabilidade e Modelos de Computação","6317069"
2003,"Comunicação","105747610"
2003,"Comunicação Visual","9939360"
2003,"Conformação Mecânica","460345"
2003,"Conjuntos","44371"
2003,"Conservação da Natureza","24127896"
2003,"Conservação das Espécies Animais","2313180"
2003,"Conservação de Áreas Silvestres","919115"
2003,"Conservação de Bacias Hidrográficas","1666396"
2003,"Conservação de Solo e Água","1789769"
2003,"Construção Civil","35502708"
2003,"Construção e Validade de Testes, Escalas e Outras Medidas Psicológicas","5945384"
2003,"Construções Rurais e Ambiência","12382307"
2003,"Contabilidade e Finanças Públicas","96604"
2003,"Controle Ambiental","44371"
2003,"Controle da Poluição","2751108"
2003,"Controle de Enchentes e de Barragens","134658"
2003,"Controle de Processos Eletrônicos, Retroalimentação","2772004"
2003,"Controle de Sistemas Mecânicos","2221514"
2003,"Conversão e Retificação da Energia Elétrica","41202"
2003,"Corrosão","6459484"
2003,"Cosmologia","8593290"
2003,"Crescimento e Desenvolvimento Econômico","1875836"
2003,"Crescimento, Flutuações e Planejamento Econômico","7472922"
2003,"Criação de Animais","1101313"
2003,"Crítica da Arte","798678"
2003,"Currículo","33394143"
2003,"Currículos Específicos para Níveis e Tipos de Educação","1861986"
2003,"Dança","1704398"
2003,"Defesa Fitossanitária","7282793"
2003,"Demografia","17035740"
2003,"Demografia Histórica","171704"
2003,"Dendrometria e Inventário Florestal","310558"
2003,"Dermatologia","1604246"
2003,"Desenho de Produto","4364211"
2003,"Desenho Industrial","1593944"
2003,"Desenvolvimento de Instrumentação Geofísica","72452"
2003,"Desenvolvimento de Produto",NULL
2003,"Desenvolvimento Social e da Personalidade","1615588"
2003,"Desintegração Nuclear e Radioatividade","120755"
2003,"Desnutrição e Desenvolvimento Fisiológico","3774879"
2003,"Determinação de Estrutura de Compostos Inorgânicos","675639"
2003,"Dietética","302929"
2003,"Dimensionamento de Jazidas","285881"
2003,"Dinâmica de Vôo","5549430"
2003,"Dinâmica dos Corpos Rígidos, Elásticos e Plásticos","4224205"
2003,"Dinâmica dos Fluídos","6833048"
2003,"Dinâmica Estrutural Naval e Oceânica","10647"
2003,"Direito","42136748"
2003,"Direito Administrativo","507165"
2003,"Direito Civil","156981"
2003,"Direito Comercial","72452"
2003,"Direito Constitucional","1800999"
2003,"Direito do Trabalho","1051519"
2003,"Direito Internacional Privado","450371"
2003,"Direito Internacional Público","771112"
2003,"Direito Privado","8626960"
2003,"Direito Processual Civil","72452"
2003,"Direito Público","14680640"
2003,"Direito Tributário","1557718"
2003,"Direitos Especiais","3667175"
2003,"Distribuição Espacial","7427342"
2003,"Distribuição Espacial Urbana","88742"
2003,"Doenças Infecciosas de Animais","2487205"
2003,"Doenças Infecciosas e Parasitárias","20818131"
2003,"Doenças Parasitárias de Animais","4251306"
2003,"Dramaturgia","1220485"
2003,"Drenagem de Águas Residuárias","2753622"
2003,"Drenagem Urbana de Águas Pluviais","1573572"
2003,"Ecofisiologia Vegetal","4133240"
2003,"Ecologia","82960312"
2003,"Ecologia Aplicada","89068214"
2003,"Ecologia Aplicada a Engenharia Sanitária","1974945"
2003,"Ecologia de Ecossistemas","158069569"
2003,"Ecologia dos Animais Domésticos e Etologia","6337506"
2003,"Ecologia Teórica","33007450"
2003,"Economia","64112923"
2003,"Economia Agrária","1604035"
2003,"Economia da Educação","72452"
2003,"Economia de Tecnologia","3891110"
2003,"Economia do Bem-Estar Social","5997728"
2003,"Economia do Consumidor","483015"
2003,"Economia Doméstica","1328290"
2003,"Economia dos Programas de Bem-Estar Social","393216"
2003,"Economia dos Recursos Humanos","14923675"
2003,"Economia dos Recursos Naturais","3736712"
2003,"Economia dos Transportes","144904"
2003,"Economia Florestal","93456"
2003,"Economia Geral","548366"
2003,"Economia Industrial","15380399"
2003,"Economia Internacional","10523953"
2003,"Economia Matemática","7704148"
2003,"Economia Monetária e Fiscal","11840010"
2003,"Economia Regional","877077"
2003,"Economia Regional e Urbana","11400543"
2003,"Economias Agrária e dos Recursos Naturais","40525439"
2003,"Educação","142576348"
2003,"Educação Artística","1341240"
2003,"Educação de Adultos","3664266"
2003,"Educação em Periferias Urbanas","517116"
2003,"Educação Especial","11899499"
2003,"Educação Física","47172642"
2003,"Educação Permanente","9804667"
2003,"Educação Pré-Escolar","5013175"
2003,"Educação Rural","3561339"
2003,"Elementos de Máquinas","24151"
2003,"Eletroanalítica","10134713"
2003,"Eletrônica Industrial","5008944"
