"grande_area","area","subarea","valor"
"Ciências da Saúde","Medicina","Clínica Médica","170106898544"
"Ciências Biológicas","Biotecnologia","Biotecnologia Ambiental e Recursos Naturais","164536178389"
"Ciências Exatas e da Terra","Química","Química Analítica","143892717398"
"Ciências Biológicas","Ecologia","Ecologia Aplicada","98700793692"
"Ciências Exatas e da Terra","Ciências Ambientais","Não informado","93897943572"
"Ciências Biológicas","Biotecnologia","Biotecnologia em Saúde Humana e Animal","83937958042"
"Ciências da Saúde","Saúde Coletiva","Saúde Pública","76628519904"
"Ciências Biológicas","Microbiologia","Biologia e Fisiologia dos Microorganismos","63894351938"
"Ciências Agrárias","Agronomia","Fitossanidade","58737994736"
"Ciências Exatas e da Terra","Química","Química Orgânica","58654667876"
"Ciências Agrárias","Agronomia","Fitotecnia","57298801367"
"Ciências Biológicas","Ecologia","Ecologia de Ecossistemas","55630355535"
"Engenharias","Engenharia de Materiais e Metalúrgica","Materiais Não-Metálicos","55288674555"
"Ciências Exatas e da Terra","Física","Física da Matéria Condensada","53143094237"
"Ciências Biológicas","Genética","Genética Humana e Médica","51621217845"
"Outra","Multidisciplinar","Ensino","49969645716"
"Engenharias","Engenharia Química","Processos Ambientais e Tecnologias Limpas","45758359300"
"Ciências Exatas e da Terra","Química","Físico-Química","44477637216"
"Ciências Agrárias","Medicina Veterinária","Medicina Veterinária Preventiva","44115434155"
"Outra","Divulgação Científica","Não informado","43980602752"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Conservação da Natureza","42631812924"
"Ciências Exatas e da Terra","Ciência da Computação","Metodologia e Técnicas da Computação","39546245978"
"Engenharias","Engenharia Mecânica","Engenharia Térmica","39073343539"
"Ciências Biológicas","Genética","Genética Animal","38778637599"
"Ciências da Saúde","Saúde Coletiva","Epidemiologia","37908336628"
"Ciências Biológicas","Microbiologia","Microbiologia Aplicada","35243457093"
"Ciências Humanas","Sociologia","Outras Sociologias Específicas","35024293401"
"Ciências Humanas","História","História do Brasil","34156016068"
"Engenharias","Engenharia Química","Engenharia de Reações Químicas e Catálise","30115634900"
"Ciências da Saúde","Farmácia","Farmacotecnia","29751033468"
"Ciências da Saúde","Educação Física","Não informado","28829392495"
"Ciências Humanas","Educação","Tópicos Específicos de Educação","28088683355"
"Ciências Agrárias","Agronomia","Ciência do Solo","27033407310"
