"grande_area","area","subarea","valor"
"Ciências da Saúde","Medicina","Clínica Médica","28293230244"
"Ciências da Saúde","Saúde Coletiva","Saúde Pública","20419957804"
"Ciências Exatas e da Terra","Física","Física da Matéria Condensada","16530218937"
"Ciências Biológicas","Genética","Genética Humana e Médica","16029404445"
"Ciências Agrárias","Agronomia","Fitotecnia","13822482367"
"Ciências Biológicas","Ecologia","Ecologia de Ecossistemas","12523128935"
"Ciências Exatas e da Terra","Ciência da Computação","Metodologia e Técnicas da Computação","11929821778"
"Ciências Agrárias","Agronomia","Ciência do Solo","11322610410"
"Ciências Exatas e da Terra","Geociências","Geologia","11206262832"
"Ciências Biológicas","Ecologia","Ecologia Aplicada","11088149192"
"Engenharias","Engenharia Civil","Construção Civil","10854602336"
"Engenharias","Engenharia Química","Processos Industriais de Engenharia Química","10615857949"
"Ciências Exatas e da Terra","Química","Físico-Química","10554724216"
"Ciências Exatas e da Terra","Química","Química Analítica","9633862298"
"Ciências Exatas e da Terra","Ciência da Computação","Sistemas de Computação","9509705057"
"Engenharias","Engenharia de Materiais e Metalúrgica","Materiais Não-Metálicos","9481629755"
"Outra","Multidisciplinar","Ensino","9271318216"
"Ciências Exatas e da Terra","Química","Química Orgânica","9263601076"
"Ciências Sociais Aplicadas","Administração","Administração Pública","9137997306"
"Ciências Biológicas","Bioquímica","Biologia Molecular","9127062947"
"Ciências Biológicas","Biologia Geral","Biologia Geral","9056821876"
"Ciências da Saúde","Saúde Coletiva","Epidemiologia","8717583028"
"Ciências Exatas e da Terra","Ciências Ambientais","Não informado","8212260372"
"Ciências Biológicas","Biotecnologia","Biotecnologia em Saúde Humana e Animal","7919249742"
"Ciências Biológicas","Zoologia","Taxonomia dos Grupos Recentes","7680179295"
"Ciências Agrárias","Agronomia","Fitossanidade","7575181436"
"Outra","Ciências Ambientais","Ciências Ambientais","7556684328"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Projeto de Arquitetura e Urbanismo","7037098648"
"Ciências Biológicas","Microbiologia","Microbiologia Aplicada","6941053593"
"Ciências Biológicas","Genética","Genética Molecular e de Microorganismos","6937012561"
"Engenharias","Engenharia Química","Tecnologia Química","6808686873"
"Não se aplica","Não se aplica","Não se aplica","6722426000"
"Outra","Divulgação Científica","Não informado","6586649752"
"Ciências Biológicas","Imunologia","Imunologia Aplicada","6561178192"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Ciência de Alimentos","6525115420"
"Ciências Exatas e da Terra","Matemática","Geometria e Topologia","6322382261"
"Ciências Agrárias","Medicina Veterinária","Medicina Veterinária Preventiva","6305709855"
"Engenharias","Engenharia Elétrica","Sistemas Elétricos de Potência","6263705658"
"Engenharias","Engenharia Mecânica","Aproveitamento da Energia","6156934828"
"Ciências Biológicas","Microbiologia","Biologia e Fisiologia dos Microorganismos","6050583038"
"Engenharias","Engenharia Elétrica","Eletrônica Industrial, Sistemas e Controles Eletrônicos","6050434042"
"Ciências Exatas e da Terra","Física","Física Geral","5903360455"
"Engenharias","Engenharia de Produção","Gerência de Produção","5878820156"
"Ciências Biológicas","Bioquímica","Metabolismo e Bioenergética","5592771443"
"Ciências Exatas e da Terra","Ciência da Computação","Engenharia de Software","5435769263"
"Engenharias","Engenharia Civil","Estruturas","5432035191"
"Ciências Sociais Aplicadas","Desenho Industrial","Desenho de Produto","5403879423"
"Ciências da Saúde","Odontologia","Clínica Odontológica","5378673287"
"Outra","Robótica, Mecatrônica e Automação","Robótica, Mecatrônica e Automação","5287303706"
"Ciências Exatas e da Terra","Ciência da Computação","Sistemas de Informação","5273155165"
"Ciências da Saúde","Medicina","Psiquiatria","5212116142"
"Ciências Exatas e da Terra","Química","Química Inorgânica","5183232788"
"Ciências Exatas e da Terra","Oceanografia","Oceanografia Biológica","5089127764"
"Ciências Agrárias","Zootecnia","Produção Animal","5015610191"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Planejamento e Projetos da Edificação","4982262309"
"Ciências Humanas","Educação","Tópicos Específicos de Educação","4899575255"
"Ciências Biológicas","Imunologia","Imunologia Celular","4780550202"
"Ciências Biológicas","Bioquímica","Química de Macromoléculas","4774868861"
"Ciências Biológicas","Farmacologia","Farmacologia Bioquímica e Molecular","4741310740"
"Ciências Humanas","Sociologia","Outras Sociologias Específicas","4687216101"
"Ciências Humanas","Educação","Ensino-Aprendizagem","4641662984"
"Engenharias","Engenharia de Produção","Planejamento, Projeto e Controle de Sistemas de Produção","4583691343"
"Ciências da Saúde","Farmácia","Farmacognosia","4582363579"
"Engenharias","Engenharia Mecânica","Engenharia Térmica","4530628739"
"Engenharias","Engenharia Elétrica","Telecomunicações","4512106412"
"Ciências Sociais Aplicadas","Administração","Administração de Empresas","4413717369"
"Engenharias","Engenharia Química","Operações Industriais e Equipamentos para Engenharia Química","4411309507"
"Ciências Sociais Aplicadas","Desenho Industrial","Programação Visual","4389830951"
"Ciências Exatas e da Terra","Física","Física das Partículas Elementares e Campos","4374405213"
"Ciências Humanas","História","História do Brasil","4352946168"
"Ciências da Saúde","Educação Física","Educação Física","4340789179"
"Engenharias","Engenharia Sanitária","Recursos Hídricos","4245340893"
"Ciências Biológicas","Fisiologia","Fisiologia de Órgãos e Sistemas","4234488104"
"Ciências da Saúde","Nutrição","Análise Nutricional de População","4227638909"
"Ciências Biológicas","Genética","Genética Animal","4136030199"
"Ciências Biológicas","Morfologia","Citologia e Biologia Celular","4132363272"
"Ciências da Saúde","Fisioterapia e Terapia Ocupacional","Fisioterapia e Terapia Ocupacional","4046069185"
"Ciências Agrárias","Agronomia","Fitopatologia","3956229764"
"Ciências da Saúde","Farmácia","Farmacotécnica e tecnologia farmacêutica","3947990142"
"Ciências Agrárias","Agronomia","Extensão Rural","3932320778"
"Ciências Exatas e da Terra","Geociências","Geofísica","3921073052"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Engenharia de Alimentos","3905917289"
"Ciências da Saúde","Medicina","Doenças Infecciosas e Parasitárias","3902587387"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Tecnologia de Alimentos","3900378069"
"Ciências Exatas e da Terra","Geociências","Meteorologia","3885788665"
"Ciências Biológicas","Genética","Genética Vegetal","3860204508"
"Ciências Agrárias","Zootecnia","Nutrição e Alimentação Animal","3753201173"
"Engenharias","Engenharia Civil","Processos Construtivos","3644638933"
"Ciências Agrárias","Agronomia","Melhoramento Vegetal","3635415115"
"Ciências Agrárias","Medicina Veterinária","Reprodução Animal","3632644462"
"Ciências Biológicas","Farmacologia","Farmacologia Clínica","3602230415"
"Engenharias","Engenharia de Energia","Fontes Renováveis de Energia","3533017574"
"Ciências Sociais Aplicadas","Comunicação","Teoria da Comunicação","3491422476"
"Engenharias","Engenharia Sanitária","Saneamento Ambiental","3422542418"
"Ciências Exatas e da Terra","Matemática","Matemática Aplicada","3416079848"
"Ciências da Saúde","Farmácia","Garantia e controle de qualidade farmacêuticos","3384906633"
"Lingüística, Letras e Artes","Lingüística","Teoria e Análise Lingüística","3348589813"
"Outra","Biotecnologia","Biotecnologia","3347068884"
"Engenharias","Engenharia de Materiais e Metalúrgica","Metalurgia Física","3340279904"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Aqüicultura","3322602405"
"Ciências Biológicas","Botânica","Taxonomia Vegetal","3246108879"
"Engenharias","Engenharia Sanitária","Tratamento de Águas de Abastecimento e Residuárias","3217774173"
"Ciências Exatas e da Terra","Matemática","Análise","3213338043"
"Ciências da Saúde","Medicina","Anatomia Patológica e Patologia Clínica","3202961448"
"Ciências Humanas","Geografia","Geografia Humana","3184403055"
"Engenharias","Engenharia Civil","Geotécnica","3133253861"
"Engenharias","Engenharia Mecânica","Projetos de Máquinas","3096669413"
"Engenharias","Engenharia Mecânica","Fenômenos de Transporte","3080735325"
"Ciências da Saúde","Medicina","Neurologia","3062785071"
"Outra","Multidisciplinar","Multidisciplinar","3014004541"
"Ciências Agrárias","Agronomia","Agronomia","3010997506"
"Engenharias","Engenharia de Produção","Engenharia do Produto","2985131876"
"Ciências Agrárias","Engenharia Agrícola","Engenharia de Água e Solo","2959969770"
"Engenharias","Engenharia de Materiais e Metalúrgica","Polímeros, Aplicações","2954894403"
"Ciências Biológicas","Farmacologia","Neuropsicofarmacologia","2933961609"
"Engenharias","Engenharia Elétrica","Automação Eletrônica de Processos Elétricos e Industriais","2883206256"
"Ciências Exatas e da Terra","Química","Química","2878746387"
"Engenharias","Engenharia Elétrica","Engenharia Elétrica","2829243622"
"Ciências Humanas","Educação","Fundamentos da Educação","2824051209"
"Ciências Exatas e da Terra","Física","Física","2810174681"
"Engenharias","Engenharia Mecânica","Processos de Fabricação","2808834360"
"Ciências da Saúde","Medicina","Saúde Materno-Infantil","2789626761"
"Engenharias","Engenharia Nuclear","Aplicações de Radioisótopos","2782027506"
"Outra","Divulgação Científica","Divulgação Científica","2755842037"
"Ciências Exatas e da Terra","Química","Química dos Produtos Naturais","2755299345"
"Engenharias","Engenharia Mecânica","Mecânica dos Sólidos","2754264548"
"Engenharias","Engenharia Química","Petróleo e Petroquímica","2731512856"
"Ciências Exatas e da Terra","Geociências","Geografia Física","2655668550"
"Ciências da Saúde","Farmácia","Farmacotecnia","2645885668"
"Engenharias","Engenharia Química","Processos Bioquímicos","2639355599"
"Ciências Biológicas","Botânica","Fisiologia Vegetal","2637017628"
"Ciências Biológicas","Biotecnologia","Biotecnologia Ambiental e Recursos Naturais","2602229989"
"Ciências Humanas","Antropologia","Teoria Antropológica","2597087466"
"Ciências Exatas e da Terra","Física","Prop. Óticas e Espectrosc. da Mat. Condens; Outras Inter. da Mat. com Rad. e Part.","2593347399"
"Ciências Biológicas","Farmacologia","Farmacologia Geral","2590521457"
"Ciências Biológicas","Botânica","Botânica Aplicada","2589533662"
"Lingüística, Letras e Artes","Lingüística","Lingüística Aplicada","2578785332"
"Engenharias","Engenharia de Produção","Pesquisa Operacional","2549049886"
"Ciências Biológicas","Parasitologia","Entomologia e Malacologia de Parasitos e Vetores","2547264775"
"Ciências Biológicas","Fisiologia","Fisiologia Geral","2540841257"
"Ciências Sociais Aplicadas","Administração","Administração de Setores Específicos","2533145423"
"Lingüística, Letras e Artes","Letras","Teoria Literária","2501328533"
"Ciências Humanas","Psicologia","Psicologia Social","2480558306"
