grande_area,area,subarea,total
Ciências Agrárias,Agronomia,Agrometeorologia,28556246.36
Ciências Agrárias,Agronomia,Agronomia,239039976.73
Ciências Agrárias,Agronomia,Arborização de Vias Públicas,130766.57
Ciências Agrárias,Agronomia,Ciência do Solo,348000388.96
Ciências Agrárias,Agronomia,Defesa Fitossanitária,22210030.3
Ciências Agrárias,Agronomia,Entomologia Agrícola,94547999.83
Ciências Agrárias,Agronomia,Extensão Rural,148805632.91
Ciências Agrárias,Agronomia,Fertilidade do Solo e Adubação,47472612.93
Ciências Agrárias,Agronomia,Fisiologia de Plantas Cultivadas,35506583.0
Ciências Agrárias,Agronomia,Fitopatologia,136350482.5
Ciências Agrárias,Agronomia,Fitossanidade,636273302.38
Ciências Agrárias,Agronomia,Fitotecnia,725918690.1800001
Ciências Agrárias,Agronomia,Floricultura,4867322.7
Ciências Agrárias,Agronomia,"Floricultura, Parques e Jardins",16944971.78
Ciências Agrárias,Agronomia,Física do Solo,12311851.87
Ciências Agrárias,Agronomia,"Gênese, Morfologia e Classificação dos Solos",9261482.91
Ciências Agrárias,Agronomia,Manejo e Conservação do Solo,33624644.78
Ciências Agrárias,Agronomia,Manejo e Tratos Culturais,47393174.06
Ciências Agrárias,Agronomia,Matologia,16167687.65
Ciências Agrárias,Agronomia,Mecanização Agrícola,1396455.36
Ciências Agrárias,Agronomia,Melhoramento Vegetal,133620721.68
Ciências Agrárias,Agronomia,Microbiologia Agrícola,15201014.49
Ciências Agrárias,Agronomia,Microbiologia e Bioquímica do Solo,56249957.95
Ciências Agrárias,Agronomia,Não informado,4738422.0
Ciências Agrárias,Agronomia,Parasitologia Agrícola,2205650.89
Ciências Agrárias,Agronomia,Parques e Jardins,210342.97
Ciências Agrárias,Agronomia,Produção de Mudas,15780563.91
Ciências Agrárias,Agronomia,Produção e Beneficiamento de Sementes,22117307.19
Ciências Agrárias,Agronomia,Química do Solo,17764649.12
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Aproveitamento de Subprodutos,11823056.7
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Armazenamento de Alimentos,1699996.87
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Avaliação e Controle de Qualidade de Alimentos,17569510.13
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,292396491.63
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência e Tecnologia de Alimentos,70828948.09
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Embalagens de Produtos Alimentares,6623267.72
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Engenharia de Alimentos,140500037.68
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Fisiologia Pós-Colheita,7626865.27
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Instalações Industriais de Produção de Alimentos,3373389.88
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Microbiologia de Alimentos,20748492.72
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Não informado,710049.2000000001
Ciências Agrárias,Ciência e Tecnologia de Alimentos,"Padrões, Legislação e Fiscalização de Alimentos",3119827.47
Ciências Agrárias,Ciência e Tecnologia de Alimentos,"Química, Física, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares",35024688.85
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia das Bebidas,4745231.04
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia de Alimentos,251378948.75
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia de Alimentos Dietéticos e Nutricionais,3935229.37
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia de Produtos de Origem Animal,13207514.84
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia de Produtos de Origem Vegetal,22652717.99
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Toxicidade e Resíduos de Pesticidas em Alimentos,4321145.04
Ciências Agrárias,Ciência e Tecnologia de Alimentos,Valor Nutritivo de Alimentos,4865954.39
Ciências Agrárias,Engenharia Agrícola,Armazenamento de Produtos Agrícolas,2715169.69
Ciências Agrárias,Engenharia Agrícola,Assentamento Rural,396972.16000000003
Ciências Agrárias,Engenharia Agrícola,Conservação de Solo e Água,19237429.59
Ciências Agrárias,Engenharia Agrícola,Construções Rurais e Ambiência,41564976.62
Ciências Agrárias,Engenharia Agrícola,Energização Rural,4983693.66
Ciências Agrárias,Engenharia Agrícola,Engenharia Agrícola,45737208.11
Ciências Agrárias,Engenharia Agrícola,Engenharia de Construções Rurais,2502270.02
Ciências Agrárias,Engenharia Agrícola,Engenharia de Processamento de Produtos Agrícolas,64408265.17
Ciências Agrárias,Engenharia Agrícola,Engenharia de Água e Solo,106362709.38
Ciências Agrárias,Engenharia Agrícola,Irrigação e Drenagem,32548456.16
Ciências Agrárias,Engenharia Agrícola,Máquinas e Implementos Agrícolas,36968245.12
Ciências Agrárias,Engenharia Agrícola,Não informado,587800.0
Ciências Agrárias,Engenharia Agrícola,Pré-Processamento de Produtos Agrícolas,5918836.31
Ciências Agrárias,Engenharia Agrícola,Saneamento Rural,1885278.71
Ciências Agrárias,Engenharia Agrícola,Transferência de Produtos Agrícolas,643174.88
