id,value
Caiuá (SP),0
Castilho (SP),0
Dracena (SP),39
Estrela do Norte (SP),0
Euclides da Cunha Paulista (SP),0
Marabá Paulista (SP),0
Mirante do Paranapanema (SP),0
Monte Castelo (SP),0
Narandiba (SP),0
Nova Guataporanga (SP),0
Ouro Verde (SP),0
Panorama (SP),0
Paulicéia (SP),0
Piquerobi (SP),0
Presidente Bernardes (SP),0
Presidente Epitácio (SP),14
Presidente Venceslau (SP),0
Ribeirão dos Índios (SP),0
Rosana (SP),6
Sandovalina (SP),0
Santa Mercedes (SP),0
Santo Anastácio (SP),0
São João do Pau d'Alho (SP),0
Tarabai (SP),0
Teodoro Sampaio (SP),0
Tupi Paulista (SP),0
Abelardo Luz (SC),0
Águas de Chapecó (SC),0
Águas Frias (SC),0
Alto Bela Vista (SC),0
Anchieta (SC),0
Arabutã (SC),0
Arvoredo (SC),0
Bandeirante (SC),0
Barra Bonita (SC),0
Belmonte (SC),0
Bom Jesus (SC),0
Bom Jesus do Oeste (SC),0
Caibi (SC),0
Campo Erê (SC),0
Capinzal (SC),0
Catanduvas (SC),0
Caxambu do Sul (SC),0
Chapecó (SC),2716
Concórdia (SC),88
Cordilheira Alta (SC),0
Coronel Freitas (SC),0
Coronel Martins (SC),0
Cunha Porã (SC),0
Cunhataí (SC),0
Descanso (SC),0
Dionísio Cerqueira (SC),0
Entre Rios (SC),0
Faxinal dos Guedes (SC),0
Flor do Sertão (SC),0
Formosa do Sul (SC),0
Galvão (SC),0
Guaraciaba (SC),0
Guarujá do Sul (SC),0
Guatambú (SC),0
Ipira (SC),0
Iporã do Oeste (SC),0
Ipuaçu (SC),0
Ipumirim (SC),0
Iraceminha (SC),0
Irani (SC),0
Irati (SC),0
Itá (SC),0
Itapiranga (SC),0
Jaborá (SC),0
Jardinópolis (SC),0
Joaçaba (SC),843
Jupiá (SC),0
Lacerdópolis (SC),0
Lajeado Grande (SC),0
Lindóia do Sul (SC),0
Luzerna (SC),31
Maravilha (SC),0
Marema (SC),0
Modelo (SC),0
Mondaí (SC),0
Nova Erechim (SC),0
Nova Itaberaba (SC),0
Novo Horizonte (SC),0
Ouro (SC),0
Ouro Verde (SC),0
Paial (SC),0
Palma Sola (SC),0
Palmitos (SC),0
Paraíso (SC),0
Passos Maia (SC),0
Peritiba (SC),0
Pinhalzinho (SC),0
Piratuba (SC),0
Planalto Alegre (SC),0
Ponte Serrada (SC),0
Presidente Castello Branco (SC),0
Princesa (SC),0
Quilombo (SC),0
Riqueza (SC),0
Romelândia (SC),0
Saltinho (SC),0
Santa Helena (SC),0
Santa Terezinha do Progresso (SC),0
Santiago do Sul (SC),0
São Bernardino (SC),0
São Carlos (SC),0
São Domingos (SC),0
São João do Oeste (SC),0
São José do Cedro (SC),0
São Lourenço do Oeste (SC),0
São Miguel da Boa Vista (SC),0
São Miguel do Oeste (SC),0
Saudades (SC),0
Seara (SC),0
Serra Alta (SC),0
Sul Brasil (SC),0
Tigrinhos (SC),0
Tunápolis (SC),0
União do Oeste (SC),0
Vargeão (SC),0
Vargem Bonita (SC),0
Xanxerê (SC),1
Xavantina (SC),0
Xaxim (SC),0
Zortéa (SC),0
Aceguá (RS),0
Água Santa (RS),0
Agudo (RS),0
Ajuricaba (RS),0
Alecrim (RS),0
Alegrete (RS),4
Alegria (RS),0
Almirante Tamandaré do Sul (RS),0
Alpestre (RS),0
Alto Alegre (RS),0
Amaral Ferrador (RS),0
Ametista do Sul (RS),0
Anta Gorda (RS),0
Arambaré (RS),0
Aratiba (RS),0
Arroio do Meio (RS),0
Arroio do Padre (RS),0
Arroio dos Ratos (RS),0
Arroio do Tigre (RS),0
Arroio Grande (RS),0
Arvorezinha (RS),0
Augusto Pestana (RS),0
Áurea (RS),0
Bagé (RS),2385
Barão de Cotegipe (RS),0
Barão do Triunfo (RS),0
Barra do Guarita (RS),0
Barra do Quaraí (RS),0
Barra do Rio Azul (RS),0
Barra Funda (RS),0
Barros Cassal (RS),0
Benjamin Constant do Sul (RS),0
Boa Vista das Missões (RS),0
Boa Vista do Buricá (RS),0
Boa Vista do Cadeado (RS),0
Boa Vista do Incra (RS),0
Boa Vista do Sul (RS),0
Bom Progresso (RS),0
Bom Retiro do Sul (RS),0
Boqueirão do Leão (RS),0
Bossoroca (RS),0
Bozano (RS),0
Braga (RS),0
Brochier (RS),0
Butiá (RS),0
Caçapava do Sul (RS),0
Cacequi (RS),0
Cachoeira do Sul (RS),0
Cacique Doble (RS),0
Caibaté (RS),0
Caiçara (RS),0
Camaquã (RS),0
Camargo (RS),0
Campina das Missões (RS),0
Campinas do Sul (RS),0
Campo Novo (RS),0
Campos Borges (RS),0
Candelária (RS),0
Cândido Godói (RS),0
Candiota (RS),0
Canguçu (RS),1
Canudos do Vale (RS),0
Capão do Cipó (RS),0
Capão do Leão (RS),0
Capitão (RS),0
Carazinho (RS),0
Carlos Gomes (RS),0
Casca (RS),0
Caseiros (RS),0
Catuípe (RS),0
Centenário (RS),0
Cerrito (RS),0
Cerro Branco (RS),0
Cerro Grande (RS),2
Cerro Grande do Sul (RS),0
Cerro Largo (RS),0
Chapada (RS),0
Charqueadas (RS),0
Charrua (RS),0
Chiapetta (RS),0
Chuí (RS),0
Chuvisca (RS),0
Ciríaco (RS),0
Colinas (RS),0
Colorado (RS),0
Condor (RS),0
Constantina (RS),0
Coqueiro Baixo (RS),0
Coqueiros do Sul (RS),0
Coronel Barros (RS),0
Coronel Bicaco (RS),0
Coronel Pilar (RS),0
Cotiporã (RS),0
Coxilha (RS),0
Crissiumal (RS),79
Cristal (RS),0
Cristal do Sul (RS),0
Cruz Alta (RS),544
Cruzaltense (RS),0
Cruzeiro do Sul (RS),0
David Canabarro (RS),0
Derrubadas (RS),0
Dezesseis de Novembro (RS),0
Dilermando de Aguiar (RS),0
Dois Irmãos das Missões (RS),0
Dois Lajeados (RS),0
Dom Feliciano (RS),0
Dom Pedrito (RS),0
Dona Francisca (RS),0
Doutor Maurício Cardoso (RS),0
Doutor Ricardo (RS),0
Encantado (RS),11
Encruzilhada do Sul (RS),0
Engenho Velho (RS),0
Entre-Ijuís (RS),0
Entre Rios do Sul (RS),0
Erebango (RS),0
Erechim (RS),460
Ernestina (RS),0
Herval (RS),0
Erval Grande (RS),0
Erval Seco (RS),0
Esperança do Sul (RS),0
Espumoso (RS),0
Estação (RS),0
Estrela (RS),10
Estrela Velha (RS),0
Eugênio de Castro (RS),0
Fagundes Varela (RS),0
Faxinal do Soturno (RS),0
Faxinalzinho (RS),0
Fazenda Vilanova (RS),0
Floriano Peixoto (RS),0
Fontoura Xavier (RS),0
Formigueiro (RS),0
Forquetinha (RS),0
Fortaleza dos Valos (RS),0
Frederico Westphalen (RS),21
Garibaldi (RS),0
Garruchos (RS),0
Gaurama (RS),0
General Câmara (RS),0
Gentil (RS),0
Getúlio Vargas (RS),0
Giruá (RS),1
Gramado dos Loureiros (RS),0
Gramado Xavier (RS),0
Guabiju (RS),0
Guaporé (RS),2
Guarani das Missões (RS),0
Herveiras (RS),0
Horizontina (RS),14
Hulha Negra (RS),0
Humaitá (RS),0
Ibarama (RS),0
Ibiaçá (RS),0
Ibiraiaras (RS),0
Ibirapuitã (RS),0
Ibirubá (RS),0
Ijuí (RS),2345
Ilópolis (RS),0
Imigrante (RS),0
Independência (RS),0
Inhacorá (RS),0
Ipiranga do Sul (RS),0
Iraí (RS),0
Itaara (RS),0
Itacurubi (RS),0
Itapuca (RS),0
Itaqui (RS),15
Itatiba do Sul (RS),0
Ivorá (RS),0
Jaboticaba (RS),0
Jacuizinho (RS),0
Jacutinga (RS),0
Jaguarão (RS),0
Jaguari (RS),0
Jari (RS),0
Jóia (RS),0
Júlio de Castilhos (RS),0
Lagoa Bonita do Sul (RS),0
Lagoão (RS),0
Lagoa dos Três Cantos (RS),0
Lajeado (RS),1708
Lajeado do Bugre (RS),0
Lavras do Sul (RS),0
Liberato Salzano (RS),0
Machadinho (RS),0
Maçambará (RS),0
Manoel Viana (RS),0
Maratá (RS),0
Marau (RS),0
Marcelino Ramos (RS),0
Mariana Pimentel (RS),0
Mariano Moro (RS),0
Marques de Souza (RS),0
Mata (RS),0
Mato Castelhano (RS),0
Mato Leitão (RS),0
Mato Queimado (RS),0
Maximiliano de Almeida (RS),0
Minas do Leão (RS),0
Miraguaí (RS),0
Montauri (RS),0
Monte Belo do Sul (RS),0
Mormaço (RS),0
Morro Redondo (RS),0
Muçum (RS),0
Muliterno (RS),0
Não-Me-Toque (RS),0
Nicolau Vergueiro (RS),0
Nonoai (RS),0
Nova Alvorada (RS),0
Nova Araçá (RS),0
Nova Bassano (RS),0
Nova Boa Vista (RS),0
Nova Bréscia (RS),0
Nova Candelária (RS),0
Nova Esperança do Sul (RS),0
Nova Palma (RS),0
Nova Prata (RS),0
Nova Ramada (RS),0
Novo Cabrais (RS),0
Novo Machado (RS),0
Novo Tiradentes (RS),0
Novo Xingu (RS),0
Novo Barreiro (RS),0
Paim Filho (RS),0
Palmeira das Missões (RS),0
Palmitinho (RS),0
Panambi (RS),35
Pantano Grande (RS),1
Paraí (RS),0
Paraíso do Sul (RS),0
Passa Sete (RS),0
Passo do Sobrado (RS),0
Passo Fundo (RS),3255
Paulo Bento (RS),0
Paverama (RS),0
Pedras Altas (RS),0
Pedro Osório (RS),0
Pejuçara (RS),0
Pelotas (RS),23621
Pinhal (RS),0
Pinhal Grande (RS),0
Pinheirinho do Vale (RS),0
Pinheiro Machado (RS),0
Pirapó (RS),0
Piratini (RS),17
Planalto (RS),0
Poço das Antas (RS),0
Pontão (RS),0
Ponte Preta (RS),0
Porto Lucena (RS),0
Porto Mauá (RS),0
Porto Vera Cruz (RS),0
Porto Xavier (RS),0
Pouso Novo (RS),0
Progresso (RS),0
Protásio Alves (RS),0
Putinga (RS),0
Quaraí (RS),0
Quatro Irmãos (RS),0
Quevedos (RS),0
Quinze de Novembro (RS),0
Redentora (RS),0
Relvado (RS),0
Restinga Sêca (RS),0
Rio dos Índios (RS),0
Rio Grande (RS),14102
Rio Pardo (RS),0
Roca Sales (RS),0
Rodeio Bonito (RS),0
Rolador (RS),0
Ronda Alta (RS),0
Rondinha (RS),0
Roque Gonzales (RS),0
Rosário do Sul (RS),0
Sagrada Família (RS),0
Saldanha Marinho (RS),0
Salto do Jacuí (RS),0
Salvador das Missões (RS),0
Salvador do Sul (RS),0
Sananduva (RS),0
Santa Bárbara do Sul (RS),0
Santa Cecília do Sul (RS),0
Santa Clara do Sul (RS),0
Santa Cruz do Sul (RS),2375
Santa Maria (RS),37706
Santa Margarida do Sul (RS),0
Santana da Boa Vista (RS),0
Sant'Ana do Livramento (RS),0
Santa Rosa (RS),0
Santa Tereza (RS),0
Santa Vitória do Palmar (RS),5
Santiago (RS),0
Santo Ângelo (RS),2590
Santo Antônio do Palma (RS),0
Santo Antônio das Missões (RS),0
Santo Antônio do Planalto (RS),0
Santo Augusto (RS),0
Santo Cristo (RS),0
Santo Expedito do Sul (RS),0
São Borja (RS),0
São Domingos do Sul (RS),0
São Francisco de Assis (RS),0
