palavra,freq
institucional,102038
tecnologia,96997
inovacao,64051
saude,61893
meio_ambiente,41373
ciencia,38087
obmep,30642
educacao,27855
producao,26461
medio,24746
sobre,21510
conhecimento,21397
ciencias,17030
materiais,16916
qualidade,16228
social,15767
controle,14447
covid,13503
caracterizacao,13474
amazonia,13276
historia,13241
entre,13002
acoes,12761
cientifico,12054
processos,11887
junior,11781
biodiversidade,11600
quimica,11556
doencas,11414
engenharia,11309
olimpiadas,11238
politica,11191
politicas,11015
doutorado,10872
mestrado,10829
efeito,10779
energia,10626
fisica,10383
estudos,10190
efeitos,10044
areas,10043
brasileira,10031
mentoria,10012
redes,9873
dados,9870
modelagem,9740
humanos,9649
jovens,9393
afirmativas,9249
conservacao,9193
divulgacao,9174
monitoramento,9173
gestao,9037
partir,8808
estudantes,8795
doutores,8452
produtos,8361
inteligencia,8307
cultura,8220
diagnostico,8209
novos,8185
sociais,8162
residuos,8124
plantas,7825
resistencia,7628
regiao,7587
mudancas,7585
estadual,7554
impacto,7550
cancer,7545
artificial,7523
fixacao,7490
brasileiro,7465
trabalho,7368
propriedades,7266
diferentes,7260
publica,7187
pacientes,7182
celulas,7092
molecular,7083
publicas,7062
seguranca,7020
aplicada,6879
sintese,6873
pandemia,6854
sociedade,6836
diversidade,6687
potencial,6638
manejo,6629
alunos,6626
dinamica,6574
alimentos,6510
teoria,6460
especies,6362
estrategias,6361
ebserh,6331
praticas,6320
processo,6291
naturais,6248
otimizacao,6169
