palavra,freq
institucional,15793
tecnologia,12236
producao,9700
inovacao,8275
meio_ambiente,7303
qualidade,5101
manejo,4932
ciencia,4518
plantas,4021
melhoramento,3858
alimentos,3633
saude,3627
controle,3529
animal,3054
diferentes,2952
medio,2948
caracterizacao,2929
crescimento,2769
agricultura,2688
efeito,2586
resistencia,2307
genetico,2278
sobre,2263
milho,2181
conservacao,2081
especies,2042
mestrado,2004
produtos,1928
cultivo,1895
genetica,1887
produtividade,1884
acoes,1870
sementes,1856
potencial,1844
doutorado,1838
cultivares,1708
desempenho,1694
eficiencia,1665
cientifico,1665
agricola,1648
solos,1626
amazonia,1623
carbono,1622
humanos,1604
bovinos,1573
residuos,1540
estresse,1538
compostos,1531
florestal,1500
doencas,1478
afirmativas,1473
selecao,1459
estadual,1402
regiao,1393
efeitos,1375
biologico,1369
visando,1281
areas,1271
cultura,1255
corte,1242
fortalecimento,1235
genomica,1207
alimentar,1207
diversidade,1202
vegetal,1201
cerrado,1178
estrategias,1177
nutricao,1168
leite,1156
feijao,1146
monitoramento,1141
semiarido,1133
educacao,1133
norte,1107
vitro,1077
modelagem,1066
ufrpe,1051
molecular,1044
adubacao,1042
irrigacao,1038
identificacao,1032
germoplasma,1030
bioativos,1030
quimica,1020
caracteristicas,1013
hidrico,1012
mudancas,997
utilizando,988
diagnostico,988
biotecnologia,983
florestais,982
acucar,973
culturas,966
ciencias,964
nutrientes,954
processos,952
climaticas,951
nitrogenio,950
seguranca,944
animais,939
