palavra,freq
institucional,13101
tecnologia,8484
saude,8377
biodiversidade,6933
meio_ambiente,6830
inovacao,6302
conservacao,4820
ciencia,4272
biologia,4053
doencas,3633
molecular,3613
sobre,3400
taxonomia,3298
cancer,3114
celulas,3097
diversidade,2999
efeitos,2997
amazonia,2922
genetica,2831
especies,2759
caracterizacao,2736
efeito,2629
evolucao,2570
producao,2541
diagnostico,2498
fungos,2456
plantas,2272
genomica,2254
controle,2218
biotecnologia,2171
resistencia,2167
medio,2159
sistematica,2152
papel,2144
celular,2140
estudos,2103
virus,2069
covid,2018
potencial,1996
mudancas,1949
estresse,1932
cientifico,1922
mecanismos,1886
doutorado,1793
mestrado,1762
flora,1755
moleculares,1736
ciencias,1722
interacao,1706
proteinas,1691
identificacao,1683
novos,1666
areas,1594
acoes,1576
estudantes,1555
climaticas,1529
educacao,1512
inflamacao,1497
atlantica,1495
resposta,1494
terapia,1464
entre,1451
animal,1447
infeccao,1408
monitoramento,1407
naturais,1404
virtual,1383
humanos,1382
biomarcadores,1377
qualidade,1374
biologicas,1343
filogenia,1331
investigacao,1318
funcional,1313
estadual,1247
expressao,1241
fisiologia,1238
divulgacao,1238
vegetal,1232
conhecimento,1229
metabolismo,1216
farmacos,1176
produtos,1162
pacientes,1135
processos,1132
bioquimica,1126
vitro,1120
morfologia,1116
contra,1115
cerrado,1112
diferentes,1110
novas,1101
vacina,1091
peixes,1079
brasileira,1073
impacto,1071
servicos,1036
genica,1031
regiao,1030
abordagem,1024
