palavra,freq
obmep,29937
tecnologia,16108
institucional,15268
inovacao,10115
materiais,6510
meio_ambiente,6149
quimica,5981
fisica,5884
ciencia,5420
dados,4942
medio,4114
sintese,3797
saude,3365
picme,3140
modelagem,3086
caracterizacao,3035
doutorado,3034
propriedades,3032
inteligencia,2950
mestrado,2931
aprendizado,2865
dinamica,2785
teoria,2761
redes,2704
monitoramento,2688
artificial,2614
energia,2592
computacao,2587
producao,2557
maquina,2549
amazonia,2510
quantica,2474
aplicada,2467
mudancas,2439
computacional,2438
ciencias,2353
novos,2347
processos,2171
matematica,2148
complexos,2111
climaticas,2079
areas,1960
ambientais,1919
carbono,1897
compostos,1873
software,1830
educacao,1821
sobre,1820
astronomia,1803
engenharia,1782
nanoparticulas,1775
inteligentes,1767
otimizacao,1728
evolucao,1702
estudos,1675
sensores,1674
partir,1662
produtos,1661
qualidade,1648
cientifico,1646
naturais,1606
tecnicas,1602
espectroscopia,1602
residuos,1600
nanotecnologia,1599
brasileira,1596
unicamp,1577
utilizando,1566
startup,1564
imagens,1512
nanomateriais,1508
materia,1490
equacoes,1487
deteccao,1484
dispositivos,1478
aprendizagem,1457
plataforma,1397
grafeno,1354
acoes,1337
problemas,1337
biodiversidade,1330
campos,1315
interacao,1315
estrutura,1293
determinacao,1293
controle,1284
molecular,1282
algoritmos,1264
sensoriamento,1262
eletronica,1244
remoto,1230
metais,1226
optica,1221
hidrogenio,1208
olimpiada,1195
regiao,1189
transporte,1185
nuclear,1165
quanticos,1154
basica,1152
