palavra,freq
tecnologia,8272
institucional,8204
inovacao,5606
social,4536
ciencia,4495
doutores,4435
jovens,4414
fixacao,4375
meio_ambiente,3711
conhecimento,3259
futuras,2964
cientistas,2947
politicas,2704
gestao,2342
comunicacao,2293
centelha,2279
sobre,2244
direito,2228
saude,2222
politica,2072
medio,1931
trabalho,1923
genero,1921
publicas,1913
sociais,1901
popularizando,1880
transbordando,1878
producao,1828
economia,1714
educacao,1500
direitos,1478
entre,1444
covid,1430
humanos,1425
publica,1424
pandemia,1394
urbana,1334
cidades,1294
cidade,1225
digital,1219
cultura,1154
brasileiro,1136
urbano,1114
acordo,1107
arquitetura,1105
acoes,1073
praticas,1062
minas,1040
brasileira,1031
gerais,1008
impactos,1000
servico,983
planejamento,956
operacionalizacao,945
design,942
redes,928
digitais,907
estudos,905
contexto,890
mercado,880
historia,873
parceria,871
dados,869
desempenho,869
governanca,864
turismo,857
democracia,849
regional,841
qualidade,831
empresas,804
processos,799
sociedade,798
patrimonio,794
cientifico,792
amazonia,790
cooperacao,789
economico,786
teoria,776
impacto,771
areas,760
america,755
desafios,754
afirmativas,747
partir,734
brasileiras,698
mudancas,688
fapemig,676
protecao,674
geracao,667
latina,652
desigualdades,649
cultural,646
estrategias,644
servicos,637
regiao,631
processo,621
relacoes,620
publico,615
consumo,614
empreendedorismo,614
