palavra,freq
saude,32846
institucional,17040
tecnologia,12401
inovacao,8114
covid,6428
pacientes,5421
doencas,4989
sobre,4585
atencao,3971
enfermagem,3507
ciencia,3040
qualidade,2952
cancer,2917
estudantes,2779
efeito,2740
fatores,2735
educacao,2708
entre,2700
efeitos,2677
criancas,2642
primaria,2596
cuidado,2530
risco,2515
medio,2468
diagnostico,2435
acoes,2389
obesidade,2360
ebserh,2339
pandemia,2326
pibiic,2222
cientifico,2214
impacto,2202
fisica,1991
idosos,1988
historia,1975
terapia,1946
controle,1939
perfil,1917
prevencao,1903
afirmativas,1802
epidemiologia,1797
celulas,1756
promocao,1685
infantil,1676
adolescentes,1658
alimentar,1627
mental,1614
validacao,1608
mulheres,1600
ensaio,1518
ciencias,1514
seguranca,1482
pessoas,1479
amazonia,1476
cronicas,1474
clinica,1465
conhecimento,1447
diabetes,1426
publica,1419
social,1418
treinamento,1385
intervencao,1375
estudos,1355
servicos,1354
gestao,1342
associados,1304
politica,1295
exercicio,1287
nutricional,1272
sindrome,1270
infeccao,1260
caracterizacao,1260
alunos,1260
efetividade,1259
biomarcadores,1257
revisao,1225
meio_ambiente,1224
diferentes,1211
fisico,1209
coorte,1199
resistencia,1198
brasileira,1195
tuberculose,1192
cronica,1189
durante,1184
divulgacao,1182
pernambuco,1181
raras,1176
producao,1170
bucal,1159
grande,1155
populacao,1154
prevalencia,1154
relacao,1153
estrategias,1136
influencia,1126
escolar,1120
profissionais,1117
eficacia,1110
associacao,1107
