palavra,freq
tecnologia,18092
inovacao,14506
institucional,11348
materiais,6866
meio_ambiente,6395
energia,6115
engenharia,6095
saude,4733
producao,4350
ciencia,3974
controle,3963
processos,3841
modelagem,3705
agentes,3673
locais,3580
2020_2022,3536
residuos,3418
otimizacao,3154
eletrica,2748
medio,2693
caracterizacao,2574
doutorado,2481
redes,2476
mestrado,2369
industria,2319
sustentaveis,2228
partir,2201
gestao,2152
estruturas,2133
geracao,2085
monitoramento,2047
inteligencia,1977
areas,1932
computacional,1871
compositos,1864
mecanica,1860
inteligentes,1788
propriedades,1766
processo,1762
seguranca,1659
nuclear,1655
artificial,1643
quimica,1642
qualidade,1602
utilizando,1553
ligas,1533
sintese,1531
desempenho,1503
hidrogenio,1500
construcao,1472
ciencias,1466
espaciais,1462
produtos,1456
grafeno,1420
acoes,1417
potencia,1416
sensores,1392
renovaveis,1373
concreto,1339
novos,1315
aprendizado,1280
dinamica,1274
manufatura,1272
transporte,1271
energetica,1260
cientifico,1258
carbono,1255
academico,1212
problemas,1210
tecnicas,1188
solidos,1160
eficiencia,1155
planejamento,1155
dados,1120
civil,1083
aplicados,1083
energias,1079
maquina,1078
biomassa,1077
aplicada,1064
esgoto,1062
comportamento,1057
polimeros,1054
eletricos,1028
elementos,1026
humanos,999
avancados,993
internet,989
sinais,984
educacao,975
veiculos,956
aguas,949
reciclagem,945
dispositivos,942
fabricacao,928
experimental,922
eletronica,918
atraves,910
efeito,909
obtencao,906
