palavra,freq
tecnologia,747
ebserh,575
inovacao,413
brasileira,267
meio_ambiente,249
institucional,227
empresa,204
servicos,204
hospitalares,204
bahia,117
consolidacao,114
fortalecimento,102
areas,101
redes,100
mestrado,89
semiarido,87
humanos,83
alunos,80
pesca,65
mestres,64
estrategicas,64
plano,64
doutores,64
fluminense,63
regiao,63
ciencia,63
semiarida,63
capacitacao,63
excelencia,63
doutorado,63
lavras,62
ufscar,60
includente,58
saude,53
biodiversidade,45
qualificacao,44
sensu,43
producao,43
nordestino,43
stricto,43
ampliacao,42
unica,42
produtividade,42
desigualdades,42
estar,42
superior,40
universitaria,40
amazonia,39
rondonia,39
nivel,39
paulo,39
influenciar,39
oferta,39
atraves,39
social,39
economico,39
engenharia,37
conservacao,35
biotecnologia,35
sobre,30
cefet,30
exploracao,29
pitebserh,28
obtido,28
essencial,28
bovino,28
fosforo,28
inoculado,28
fungos,28
micorrisicos,28
arbsculates,28
controle,28
carrapato,28
doses,28
winterianus,28
influencia,28
cymbopogon,28
diferentes,28
aquicultura,26
graduandos,26
oeste,24
divulgacao,21
produtos,21
novos,21
internacionalizacao,21
patentes,21
geracao,21
impacto,21
publicacoes,21
contextos,20
rural,20
vulnerabilidade,20
socioambiental,20
promocao,19
renovaveis,15
circular,15
energias,15
biocombustiveis,15
visando,15
inovacoes,15
