palavra,freq
tecnologia,5150
capacitacao,2114
ciencias,2111
inovacao,2006
meio_ambiente,1617
engenharia,1564
ciencia,1562
institucional,1479
biodiversidade,1343
espaciais,1160
materiais,1087
brasileiro,1030
archer,1012
renato,1012
historia,977
semiarido,926
fisica,908
areas,825
quimica,810
sociedade,777
humanos,776
remoto,754
meteorologia,754
espaco,754
amazonia,739
naturais,730
historicos,694
ecossistemas,566
servico,559
regiao,559
brasileira,538
nanotecnologia,514
instrumentacao,511
conservacao,505
excelencia,485
mineral,485
fortalecimento,485
nordeste,471
fixacao,471
consolidacao,471
microeletronica,471
biotecnologia,471
nuclear,460
divulgacao,437
acervos,437
social,437
cientificas,437
populacoes,398
sustentado,398
qualidade,398
aplicada,377
afins,354
manutencao,331
processos,331
origem,331
ambientais,331
dinamicas,331
socioculturais,331
conhecimento,325
metrologia,286
geofisica,286
astronomia,286
ameacadas,283
especies,283
rupicolas,283
cidada,283
cosmologia,277
teorica,277
altas,277
energias,277
arquivos,257
educacao,257
museologia,257
diversidade,253
sociocultural,253
transformacoes,253
biologica,253
computacional,251
infraestrutura,234
locais,214
melhoria,214
alagaveis,214
florestas,214
desastres,211
desenvolvimentos,211
modelagem,181
restauracao,176
basica,168
matematica,165
complexos,151
competitividade,149
industria,149
modernizacao,140
astronomica,140
observacional,140
computacao,140
deslizamentos,121
deastres,121
massa,121
movimentos,121
