palavra,freq
olimpiadas,10189
conhecimento,10182
junior,10008
mentoria,9923
ciencia,4921
tecnologia,3330
meio_ambiente,3024
educacao,2843
ciencias,2706
divulgacao,2583
feira,2042
inovacao,2002
doutores,1463
fixacao,1401
popularizacao,1352
mostra,1288
jovens,1280
cultura,805
saude,757
matematica,738
centelha,723
olimpiada,683
faperj,638
cientifico,613
institucional,593
povos,593
sociedade,586
regiao,560
basica,535
semiarido,509
brasileiro,492
robotica,478
brasileira,478
diversidade,470
acordo,446
servico,443
fortalecimento,442
entre,425
territorios,419
medio,419
biologica,414
museus,412
museu,409
transformacoes,404
social,400
comunicacao,398
sociocultural,394
engenharia,394
monitoramento,393
sobre,393
amazonas,390
excelencia,385
conservacao,382
construcao,368
tradicionais,354
biomas,349
amazonia,340
ebserh,325
redes,322
novas,321
grosso,316
indigenas,312
publica,306
quilombolas,302
cooperacao,299
astronomia,295
producao,292
cientificas,292
mudancas,290
identidades,288
brasileiros,286
gestao,283
sociais,277
doutorado,277
controle,269
satelite,268
transformacao,263
escolas,257
capacidades,255
biodiversidade,254
parceria,244
mestrado,237
inovadores,231
feiras,231
inclusao,231
atraves,230
ambientais,230
efeito,225
escola,224
operacionalizacao,222
climaticas,220
qualidade,219
fisica,216
quimica,215
formal,214
caracterizacao,206
naturais,205
campus,204
plataforma,204
especies,199
