palavra,freq
tecnologia,2747
institucional,1532
inovacao,1362
ebserh,1275
saude,1066
producao,952
meio_ambiente,897
obmep,699
medio,649
redes,613
residuos,534
aprendizagem,513
energia,498
ciencia,488
caracterizacao,440
partir,417
educacao,415
alunos,398
qualidade,387
produtos,384
sobre,376
dados,362
inteligencia,355
materiais,354
monitoramento,351
controle,350
diagnostico,346
gestao,340
processos,340
industria,326
artificial,318
plataforma,313
potencial,297
processo,295
digital,289
covid,273
computacional,270
inteligentes,260
nanoparticulas,257
sintese,254
novos,252
regioes,241
utilizando,239
plantas,234
estudantes,233
deteccao,233
amazonia,230
doencas,229
metropolitanas,215
maquina,215
construcao,215
modelagem,213
social,205
quimica,204
areas,201
aprendizado,199
geracao,197
internet,196
efeito,192
celulas,191
virtual,189
otimizacao,189
novas,188
acoes,187
aplicada,185
petroleo,183
software,182
coisas,178
sensores,176
baixo,175
sociais,174
atraves,169
municipio,166
digitais,166
ceara,165
ciencias,165
manufatura,164
obtencao,164
realidade,161
propriedades,161
naturais,160
farmacos,158
resistencia,156
alimentos,156
validacao,154
contendo,149
identificacao,149
servicos,149
inteligente,148
ambientais,147
custo,146
inclusao,146
integracao,146
extracao,144
transferencia,144
agricultura,143
nanotecnologia,143
tecnicas,143
imagens,142
aplicativo,142
